country,date,statement
Peru,2007-01-04,"BANCO CENTRAL DE RESERVA DEL PERU PRESS RELEASE MONETARY PROGRAM FOR JANUARY 2007 BCRP MAINTAINS REFERENCE RATE AT 4.50% The Board of the Central Bank approved to maintain the reference interest rate for the interbank market at 4.50 percent, considering that no inflationary pressures are expected in the short term and that the factors that have driven the inflation rate below the target range are transitory. These include the lower prices of fuels, of public utilities and of some food products which are expected to have a one-time impact on the inflation rate. The inflation targeting scheme implemented by the Central Bank since 2002 involves a series of preventive monetary measures to maintain inflation within the target range of between 1.5 and 3.5 percent. The inflation targeting regime considers the possibility of transitory diversions from the target range which fall out of the control of central banks and which are not deemed to require particular monetary measures to address them given their temporary nature. The Consumer Price Index of Metropolitan Lima (CPI) increased 0.03 percent in December 2006, as a result of which the last-12-month CPI inflation rate was 1.14 percent below the lower band of the inflation target (1.5  2.5 percent) in line with the trend forecast in the Central Bank's inflation report of September and with the announced monetary program for December. This lower inflation rate is associated with the lower prices of fuels, of electricity and telephone rates, and of some food products. The rate of core inflation a trend indicator of price increases was 0.15 percent in December, as a result of which last-12-month core inflation has increased from1.23 percent in 2004 and2005 to1.4 percent in 2006. The last-12-month inflation rate is expected to remain below the lower band of the inflation target (1.5 percent) in the first part of 2007 due to the reversal of the price rises of some food products observed in the first four months of 2006, as these factors have a one-time impact on inflation and therefore require no particular monetary policy measures to address them. The acceleration of economic activity since 2005, with growth rates of domestic demand of around 10 percent during 2006, has been coupled by low levels of inflation. This evolution isexplained by productivity increases in the economy as well as by the appreciation of the nuevo sol. In addition to this, business expectations on inflation are stable. BANCO CENTRAL DE RESERVA DEL PERU In this context, the Central Bank will continue evaluating all relevant macroeconomic information and will stand ready to take any necessary measure to ensure that inflation continues to be within the target range (1.5  3.5 percent). Particularly, the Central Bank will oversee that an increased domestic spending that might exceed the improvements observed in terms of productivity is not translated into inflationary pressures. In the last twelve months, the nominal exchange rate decreased 6.4 percent relative to the dollar, while the real exchange rate (considering the currency fluctuations of our main trading partners and relative inflation in these countries) declined less 1.3 percent in a context of unprecedented increased terms of trade(26 percent) over the last 50 years. The interbank reference interest rate has been 4.5 percent since May 2006, and the average monthly interest rate for the interbank market was 4.51 percent in December. The short-term rates are relatively stable and long- term rates in domestic currency continue to exhibit a decreasing tendency. Thus, the average 90-day corporate prime rate for credit in soles was 5.23 percent in December, decreasing 2 bps. with respect to November. On the other hand, the yield on the 20-year sovereign bond in soles decreased for the seventh consecutive month and fell from 6.88 percent in November to 6.58 percent in December. During the session, the Board of Directors approved the following annual interest rates for active and passive operations between the BCRP and the financial system: Direct temporary purchases of securities and rediscount operations: 5.25 percent. Overnight deposits: 3.75 percent. Likewise, the Board of Directors approved the following annual interest rates for operations in dollars between the BCRP and the financial system: Rediscount operations: 1-monthLIBORplus one percentage point. Overnight deposits: overnight LIBOR minus 3/8 of one percentage point. Swap: a commission equivalent to a minimum annual effective cost of 5.25 percent. Reserve requirements in foreign currency subject to remuneration: 2.75 percent. The Board will approve the following Monetary Program (for the month of February) on the session to be held on February 8, 2007. In 2007, the Board of the Central Bank will approve the Monetary Program for each month according to the following schedule: BANCO CENTRAL DE RESERVA DEL PERU February8 March 8 April3 May 3 June 7 July 5 August 2 September 6 October 4 November8 December 6 Likewise, the BCRP will publishits Inflation Reports on the following dates: February9 June 8 October 5."
Israel,2007-01-10,"10.1.2007 The Governor of the Bank of Israel: The Bank of Israel's interest rate policy, together with the Ministry of Finance's budget policy, led to important economic achievements in 2006 - rapid growth, financial stability and low inflation The Bank of Israel's interest rate policy is expected to bring inflation back to within its target range during 2007 The Israelieconomy demonstrated impressive achievements in 2006--rapid growth, financial stability and low inflation--despite external events such as the hostilities in the north. The Bank of Israel's interest rate policy succeeded in supporting economic stability while maintaining low inflation. However inflation for 2006, based on estimates of the consumer price index for December and the cumulative CPI since January 2006,is expected to be close to zero, below the inflation target of 1-3 percent. The Bank of Israel expects to continue its measured interest ratepolicy and to bring inflation gradually back to within the target range during 2007, while avoiding unnecessary fluctuations in the financial markets. In the first half of 2006, inflation over the previous 12 months was higher than the target range (that is above 3 percent), principally due to the effects of rising energy prices worldwide. At the time, the Bank of Israel continued itsflexible approach regarding its monetary policy, with the aim of bringing inflation back to within its target range within the year. The Bank of Israel expected to achieve this around mid-2006, as indeed happened. The secondhalf of the year saw particularly low levels of CPI inflation, mainly against the background of the effects of a shekel appreciating vis-?-vis the dollar, as well as developments in the global and Israeli economies. These developments reflect the strength of the Israeli economy: an impressive current account surplus in the balance of payments, and inward foreign investment. These were the words of the Governor of the Bank of Israel. Professor Stanley Fischer,in a press conference today in which he presented a summary of the Bank ofIsrael's interest rate policy for 2006 and the Bank's assessments for 2007. In summing up 2006, the Governor said that the Bank of Israel believes that the ability of the economy to continue growing in 2006, despite the political changesand the fighting in the north in the summer, while maintaining financial stability and price stability, are a credit to the policy makers--the Ministry of Finance and the Bank of Israel--as well as the business sector, which continued to function and develop even during the time of hostilities in the north. During the war, the Bank of Israel raised the interest rate in order to signal to the local and global markets its determination to maintain price and financial stability. This policy, against a background of the Ministry of Finance's disciplined budget policy, allowed the interest rate to be cut cumulatively in recent months leading to a significant negative gap between the Bank of Israel's interest rateand that of the US Federal Reserve, the Governor pointed out. Inflation is expected to return to within its target range by Q 4 2007 In 2007, the Bank of Israel will continue its policy of attempting to return inflationgradually to within the target range. Just as too sharp a rise in the interest rate was not required in the first half of 2006, when inflation was higher than the target range, so now a policy of cutting the interest rate too aggressively is similarly uncalled for. Such sharp changes in the interest rate could cause excessive fluctuations in inflation and output. The Bankof Israel will therefore continue to adjust the interest rate when required, according to the its analysis of developments prior to its monthly decision. By the Bank's assessments, inflation over the past 12 months is expected to return to within the target range by the fourth quarter of 2007. The Bank's monetary policy up to now, and particularly the cumulative interest rate reduction of a full percentage point in recent months, as well as the monetary policy for 2007, will act to strengthen the probability that this will be the outcome for inflation. It is also important to note that unexpected events could affect inflation during the year, for example, changes in the price of oil or fluctuations in the exchange rate, and that inflation during 2007 could accordingly differ from current assessments. Therefore, the Bank of Israel will continue to monitor economic developments, in order to manage monetary policy in a way that is consistent with achieving the price-stability target over a horizon of about ayear. 10.1.2007 The Governor of the Bank of Israel: The Bank of Israel's interest rate policy, together with the Ministry of Finance's budget policy, led to important economic achievements in 2006 - rapid growth, financial stability and low inflation The Bank of Israel's interest rate policy is expected to bring inflation back to within its target range during 2007. The Governor of the Bank of Israel: The Bank of Israel's interest rate policy, together with the Ministry of Finance's budget policy, led to important economic achievements in 2006 - rapid growth, financial stability and low inflation. The Bank of Israel's interest rate policy is expected to bring inflation. back to within its target range during 2007. The Israelieconomy demonstrated impressive achievements in 2006--rapid growth, financial stability and low inflation--despite external events such as the hostilities in the north. Inflation is expected to return to within its target range by Q 4 2007. In 2007, the Bank of Israel will continue its policy of attempting to return inflationgradually to within the target range."
Chile,2007-01-11,"Central Bank of Chile Santiago, 11 January 2007 Press Release* In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided to reduce the monetary policy interest rate from 5.25% to 5% (annual). The information accumulated in the past few months configures a low- inflation scenario for coming quarters that justifies this reduction in the interest rate, in order to assure that the inflation rate converges to 3% in the policy horizon, that is, around two years. The external scenario relevant to the Chilean economy continues to be favorable. Despite the US economic deceleration, global growth continues to be strong, while international financial conditions remain favorable. On the other hand, prices of oil and copper have dropped in recent weeks, showing a partial normalization that has been faster than expected. Information available suggests that, although domestic activity recovered some dynamism, gaps originating in the unforeseen decline in growth of last year will persist for several quarters. This occurs despite the vigorous expansion of domestic demand, especially consumption, increased salaried employment and reduced unemployment. Internal financial conditions remain favorable. Headline and core inflation are between 2% and 3%, considerably below earlier projections. These measures have been influenced, aside from the drop in oil prices, by wider output gaps and reduced cost pressures. Other trend inflation indicators are still low, although some of them are showing early signs of a reversal, explained by seemingly one-time factors. Projections are that in the short term, inflation will temporarily approach 3% because of a basis of comparison effect, to later come close to 2% for a few quarters and converge to 3% in about two years. The Board reaffirms its commitment of conducting monetary policy to assure that projected inflation will be at 3% over the policy horizon. Future changes in the monetary policy rate intended to achieve this objective will depend on incoming information and its implications for projected inflation. * The Spanish original prevails."
Euroarea,2007-01-11,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference in 2007. I would also like to take this opportunity to welcome Slovenia as the thirteenth country to adopt the euro as its currency. Accordingly. Mr Gaspari, the Governor of Banka Slovenije, became a member of the Governing Council on 1 January 2007. Let me now report on the outcome of our meeting, which was also attended by the President of the Eurogroup. Prime Minister Juncker, and Commissioner Almunia. On the basis of our regular economic and monetary analyses, we decided at today's meeting to leave the key ECB interest rates unchanged. The information that has become available since our last meeting has further underpinned the reasoning behind our decision to increase interest rates in December. It has also confirmed that very close monitoring of all developments is of the essence so that risks to price stability over the medium term do not materialise. This will permit medium to longer-term inflation expectations in the euro area to remain solidly anchored at levels consistent with price stability. Such anchoring is a prerequisite for monetary policy to make an ongoing contribution towards supporting sustainable economic growth and job creation in the euro area. Our monetary policy continues to be accommodative, with the key ECB interest rates remaining at low levels, money and credit growth very strong, and liquidity in the euro area ample by all plausible measures. Therefore, looking ahead, acting in a firm and timely manner to ensure price stability in the medium term is warranted. Turning first to the economic analysis, quarter-on-quarter real GDP growth in the euro area was 0.5% in the third quarter of 2006, after very strong growth in the first half of last year. Domestic demand remained the main driver of economic growth, thus confirming the anticipated broadening of the recovery and pointing to the increasingly self-sustaining nature of economic expansion in the euro area. Drawing on the latest information, the evidence from various confidence surveys and indicator-based estimates supports the assessment that robust economic growth has continued and that the situation in labour markets has improved further. While some volatility in the quarter-on-quarter growth rates around the turn of the year may be observed  associated with the impact of changes in indirect taxes in a large euro area country  the information available continues to be in line with our baseline scenario. Looking ahead, the medium-term outlook for economic activity continues to be favourable and the conditions remain for the euro area economy to grow solidly, at rates around potential. As for the external environment, global economic growth has become more balanced across regions, with some deceleration in the US and resilient growth elsewhere. Overall, global growth should remain robust and therefore continue to provide support for euro area exports. Domestic demand in the euro area is expected to maintain its momentum. Investment should remain dynamic, benefiting from an extended period of very favourable financing conditions, balance sheet restructuring, accumulated and ongoing strong earnings, and gains in business efficiency. Consumption should also strengthen further over time, in line with developments in real disposable income, as employment conditions continue to improve. In the Governing Council's view, the risks surrounding this broadly favourable outlook for economic growth over the coming years lie mainly on the downside. The main risks relate to fears of a rise in protectionist pressures, the possibility of a renewed increase in oil prices, and concerns about possible disorderly developments due to global imbalances. With regard to price developments, according to Eurostat's flash estimate, annual HICP inflation was 1.9% in December 2006, unchanged from the previous month. On account of their volatility over recent months, and owing to base effects, energy prices will continue to play an important role in determining the profile of annual rates of HICP inflation in early 2007, together with the impact of higher indirect taxes. Looking further ahead, annual inflation rates are projected to hover around 2% over this year and next. In the Governing Council's view, the outlook for price developments remains subject to upside risks, stemming in particular from a stronger than anticipated pass-through of previous oil price increases, increases in administered prices and indirect taxes beyond those announced thus far, and the possibility of renewed oil price increases. More fundamentally, given the favourable momentum of real GDP growth over the past few quarters and positive labour market developments, wage dynamics could be stronger than currently expected. It is therefore crucial that social partners continue to meet their responsibilities. In this context, wage agreements should take into account productivity developments, while recognising the still high level of unemployment and price competitiveness positions. As stated on previous occasions, it is also important that wage settlements move away from automatic, backward-looking indexation mechanisms. Turning to the monetary analysis, annual M3 growth rose to 9.3% in November. This represents its highest annual rate of growth since the introduction of the euro and, indeed, its strongest aggregate growth in the euro area group of countries since 1990. While the significance of monthly figures should not be overstated, as they may also be influenced by temporary factors, the series of strong monetary data over the past couple of months underscore the continued very dynamic underlying rate of broad money expansion in the euro area. Rising short-term interest rates, in combination with low long-term interest rates, have exerted only a limited influence over monetary developments in recent months. This has mainly taken the form of shifts among the components of M3 rather than constraining the overall expansion of M3 itself. In particular, over recent months the annual growth rate of M1 has moderated somewhat, reflecting shifts from overnight deposits into other components of M3 that offer more market-related returns. All in all, the rate of monetary and credit expansion remains rapid, reflecting the low level of interest rates and the strengthening of economic activity in the euro area. In particular, the annual growth rate of loans to the private sector was 11.2% in November, unchanged from the previous month. While  in the context of rising interest rates  the growth of household borrowing has shown signs of stabilisation in recent months, albeit at very high rates, the growth of borrowing by non-financial corporations continues to trend upwards. Thus, credit continues to expand rapidly and in a broad-based fashion, thereby remaining the main driver of the current strong monetary growth when viewed from the counterpart side of the MFI balance sheet. Taking a medium to longer-term perspective, the latest developments are consistent with a continuation of the persistent upward trend in the underlying rate of monetary expansion. Following several years of robust monetary growth, the liquidity situation in the euro area is ample by all plausible measures. Continued strong monetary and credit growth in an environment of ample liquidity point to upside risks to price stability over the medium to longer term. Monetary developments therefore continue to require very careful monitoring, particularly against the background of improved economic conditions and continued strong property market developments in many parts of the euro area. To sum up, annual inflation rates are projected to hover around 2% this year and next, with risks to this outlook remaining on the upside. Given the very strong monetary and credit growth in an environment of already ample liquidity, a cross-check of the outcome of the economic analysis with that of the monetary analysis supports the assessment that upside risks to price stability prevail over the medium to longer term. Hence, very close monitoring of all developments is of the essence in order to ensure that risks to price stability over the medium term do not materialise. This will permit medium to longer-term inflation expectations in the euro area to remain solidly anchored at levels consistent with price stability. Therefore, looking ahead, acting in a firm and timely manner to ensure price stability in the medium term is warranted. As regards fiscal policy, almost all euro area countries have submitted their updated stability programmes. While these programmes generally indicate that governments plan to proceed towards sound budgetary positions, there are also indications that budget targets do not consistently imply sufficient consolidation and that concrete and credible measures have not yet been specified in all programmes. These indications are a cause of concern and entail risks for the future. Against the background of current good times, it is essential that sound budgetary positions are reached in countries with fiscal imbalances and that a pro-cyclical loosening is avoided in all member countries. Moreover, countries need to improve the quality of their tax and expenditure policies as part of a comprehensive medium-term strategy, so as to strengthen confidence in a growth and employment-friendly, and sustainable, fiscal policy environment. With regard to structural reforms, over recent years euro area countries have become increasingly aware of the necessity to adjust to the challenges of increased global competition, ageing populations and accelerating technological change. In response, some have undertaken reform efforts to create more job opportunities. Both as a reflection of these reforms and as a result of wage moderation in some countries, the euro area has seen a remarkable dynamism in employment growth over the recent period. Notably, around 12 million new jobs were created in the euro area in the eight-year period since the start of Stage Three of EMU. This compares favourably with the little more than two million new jobs created in the same group of countries in the eight years before 1999. However, the Governing Council notes that significant structural impediments continue to exist and contribute to explaining why unemployment rates are still unacceptably high and participation in the labour market is still low by international standards. With other countries in the world also increasing the competitiveness of their markets, it is essential for each euro area country to minimise the market distortions induced by its particular regulations and for the euro area as a whole to remove remaining barriers to market integration. This requires the implementation of comprehensive reforms necessary to deepen market integration, soften labour market rigidities and improve wage flexibility in order to continue fostering growth and new employment opportunities."
South Korea,2007-01-11,"The Bank of Korea Monetary Policy Decision The Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (4.50%) for the intermeeting period. (The following is an English translation of the Monetary Policy Committee statement). In the real economy, exports continue to show steady growth, facilities investment maintains a growing pace and construction investment appears to be recovering. On the other hand, private consumption exhibits a slowdown in the pace of its expansion. Meanwhile, the current account has running a large surplus, thanks to the widened goods account surplus. Consumer price inflation and core inflation both remain stable. The upward pace of real estate prices has shown a signs of slowdown. In the financial markets, overall liquidity conditions are favorable and financial institutions' lending has increased steadily. Taking the above economic and financial conditions into consideration, the Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (4.50%) for the intermeeting period."
Turkiye,2007-01-16,"The Monetary Policy Committee (The Committee) has decided to keep short-term interest rates (policy rates) unchanged as follows: a) Overnight Interest Rates: Borrowing rate at 17.50 percent, and lending rate at 22.50 percent, b) Late Liquidity Window Interest Rates: Borrowing rate applied between 4:00 p.m.  4:30 p.m. at 13.50 percent, lending rate at 25.50 percent, c) The interest rate on overnight and one-week maturity borrowing facilities provided for primary dealers via repo transactions at 21.50 percent. The Committee evaluates the recent data as broadly consistent with the outlook presented in the October Inflation Report. While the slowdown in the private consumption demand continues, the external demand remains relatively strong. Although economic activity has shown a tendency to recover in the last quarter of 2006, overall demand conditions continue to support disinflation. Inflation expectations continue to improve. Nevertheless, the gap between the medium-term inflation expectations and the targets, the risks related to the services price inflation, and the uncertainties in the global economy necessitate keeping the tight policy stance. Moreover, the Committee notes the support from oil prices to the inflation outlook, as well as the uncertainties regarding the unprocessed food prices. In light of these developments, the Committee assesses that meeting the medium term inflation targets would necessitate the maintenance of the cautious policy stance. The Committee closely monitors the lagged effects of the monetary tightening since June 2006. Moreover, the potential impact of the progress in the structural reform agenda and the developments in the incomes policy as well as the public sector non-interest expenditures on the inflation and the inflation expectations are carefully evaluated. The Central Bank will not hesitate to tighten monetary policy in case of any new developments that would adversely affect the medium-term inflation outlook. It should be emphasized that any new data or information related to the inflation outlook will lead the Committee to reconsider its stance. A brief summary of the assessments of the Committee will be released within eight working days. The Monetary Policy Committee (The Committee) has decided to keep short-term interest rates (policy rates) unchanged as follows: a) Overnight Interest Rates: Borrowing rate at 17.50 percent, and lending rate at 22.50 percent, b) Late Liquidity Window Interest Rates: Borrowing rate applied between 4:00 p.m.  4:30 p.m. at 13.50 percent, lending rate at 25.50 percent, c) The interest rate on overnight and one-week maturity borrowing facilities provided for primary dealers via repo transactions at 21.50 percent. The Committee evaluates the recent data as broadly consistent with the outlook presented in the October Inflation Report. While the slowdown in the private consumption demand continues, the external demand remains relatively strong. Although economic activity has shown a tendency to recover in the last quarter of 2006, overall demand conditions continue to support disinflation. Inflation expectations continue to improve. Nevertheless, the gap between the medium-term inflation expectations and the targets, the risks related to the services price inflation, and the uncertainties in the global economy necessitate keeping the tight policy stance. Moreover, the Committee notes the support from oil prices to the inflation outlook, as well as the uncertainties regarding the unprocessed food prices. In light of these developments, the Committee assesses that meeting the medium term inflation targets would necessitate the maintenance of the cautious policy stance. The Committee closely monitors the lagged effects of the monetary tightening since June 2006. Moreover, the potential impact of the progress in the structural reform agenda and the developments in the incomes policy as well as the public sector non-interest expenditures on the inflation and the inflation expectations are carefully evaluated. The Central Bank will not hesitate to tighten monetary policy in case of any new developments that would adversely affect the medium-term inflation outlook. It should be emphasized that any new data or information related to the inflation outlook will lead the Committee to reconsider its stance. A brief summary of the assessments of the Committee will be released within eight working days."
Thailand,2007-01-17,"No 2 /2007 Monetary Policy Committee's Decision on 17 January 2007 Ms. Suchada Kirakul. Assistant Governor of the Monetary Policy Group. Bank of Thailand, announces that the Monetary Policy Committee (MPC) met today to assess the latest economic developments and trends in order to determine the appropriate monetary policy stance. The main issues discussed are as follows. Latest economic indicators point towards a slowdown in domestic demand. In particular, consumption and investment in the first two months of the fourth quarter of 2006 showed a continued moderation from the previous quarter. Despite an expansion in exports, risks remain given the prospects of a slowdown in the global economy in 2007. On the other hand, inflationary pressures are expected to moderate, particularly from lower oil prices, significantly reducing the chances that core inflation will exceed the target band over the next two years. The MPC viewed that inflationary pressures have moderated, while the risks to growth have increased. Therefore monetary policy could be eased in support of a further expansion of the economy. The MPC thus decided to lower the 1-day repurchase rate from 49375 per cent per annum to 475 per cent per annum, with the 1-day repurchase rate replacing the 14-day repurchase rate as the policy rate, effective today. Trirat Thanaprakopkorn Tel: +66 (0) 2283 6186 e-mail: triratt@botorth Vision : A dynamic organization commanding public trust and respect."
Hungary,2007-01-22,"1. At its meeting on 22 January 2007, the Monetary Council considered the latest economic and financial developments and voted to leave the central bank base rate unchanged at 8.00%. Economic data released since the latest policy meeting have not altered the Monetary Council's view of the Hungarian economy materially. According to the underlying measures of inflation, the general picture is one of a significantly higher inflation environment than the level implied by price stability. In contrast with individual factors driving price developments, for example, consumption demand, the exchange rate and oil prices, which point to a slowdown in inflation, the rate of wage growth continues to be higher than expected. The latest wage data indicate that the growth of wages in the private sector has been high recently. This strong growth has emerged against the background of a loosening of labour market conditions. However, it is too early to tell whether this process reflects a deterioration in inflation expectations or an adjustment to changes in the regulatory environment. Recent output data have reinforced earlier signs of a widening in the gap between external and domestic demand growth. The rise in the volume of output in November suggests that industrial activity remains buoyant. In the Council's judgement, the risks to future inflation are significant and highly likely to persist in the months ahead. In view of the uncertainties, the Council will continue to monitor inflation developments carefully and will aim to prevent potential upward effects of one-off measures on the general price level through higher expectations from triggering a spillover into higher inflation. The Council's evaluation of the achievement of the 2006 inflation target. The annual rate of inflation in December 2006, at 6.5%, was higher than the 3.5% target set for end-2006, and was also outside the ±1% tolerance band. In 2006, the inflation target could not be met in large part because of factors outside the influence of monetary policy. The average rate of consumer price inflation in 2006 was 3.9% and that of core inflation was 2.3%. As a positive effect of factors determining inflation, the rate of price increases had come close to the level implying price stability by end-2005 and early 2006, with the risks to economic balance remaining particularly pronounced. The favourable underlying developments in, and the benign outlook for, inflation, coupled with the necessity of fiscal adjustment, characterised the picture of the Hungarian economy up to mid-2006. A slowdown in tradables inflation was the major driving force behind good inflation performance, which was explained by the combination of a disinflation of tradable prices globally. Hungary joining the European Union and the transformation of trade patterns in the wake of the accession. In addition, reaching a level close to price stability was also supported by the stable and strong exchange rate as well as by wage inflation which was becoming increasingly in tune with price stability. Inflation reached a turning point in mid-2006, with inflationary pressures rising across a broad range of products. The Monetary Council expected the effects of intensifying competition in earlier years to unwind and core inflation to pick up. In mid-2006, however, there were signs suggesting that inflation would rise at a faster rate than expected earlier, due to the sharp increase in unprocessed food prices, the pick-up in wage inflation and the weakening exchange rate. From September, as a consequence of the measures taken by the Government, administered prices rose strongly, and the increase in indirect taxes affected a wide range of product prices. These measures contributed significantly to inflation in December exceeding the target by 3 percentage points. Beyond the direct inflationary effects, the measures may cause changes in pricing behaviour and wage agreements. The Monetary Council, therefore, clearly reaffirms its commitment to meet the medium-term inflation target; and it will continue to aim to anchor inflation expectations and stabilise inflation around 3%."
Philippines,2007-01-24,"At its meeting today, the Monetary Board decided to leave the BSP's key policy interest rates unchanged at 7.5 percent for the overnight borrowing or reverse repurchase (RRP) rate and 9.75 percent for the overnight lending or repurchase (RP) rate. The tiering system on bank placements with the BSP was also kept in place. The Monetary Board noted during its assessment that the outlook for inflation has largely eased since its previous policy meeting. Supply-side pressures have diminished noticeably in recent months. Meanwhile, demand-side pressures continue to be minimal thus far, although latest data show moderate improvements across demand indicators. More importantly, latest BSP forecasts for 2007 and 2008 show that in the absence of further adverse shocks, average inflation may edge closer to the lower end of the 4.0-5.0 percent target range for 2007 and the 4.0 percent ± 1.0 percent target for 2008. Nevertheless, the Monetary Board believes that, on balance, there continue to be sufficient grounds for caution in the monetary stance. More time is needed to allow the impact of the tiering system to fully wind its way through the credit channel. A prudent pause is only appropriate particularly in light of the continued strong growth in liquidity and the downtrend in interest rates. Caution in adjusting policy settings is also important in light of various upside risks to inflation, which include various cost-side adjustments. There is also some uncertainty as to whether the recent moderation in supply-side pressures will continue, given the vulnerability of energy prices to geopolitical disruptions and the risk to food prices from a stronger El Niño episode. In addition, inflation expectations, while manageable at present, are also at risk from anticipated increases in public expenditure and possible large adjustments in nominal wages. The Monetary Board remains firmly committed to addressing the risks to future inflation and will continue to monitor closely the evolving conditions for consumer prices, aggregate demand, domestic liquidity and other factors in order to determine the appropriate stance of monetary policy."
Czech Republic,2007-01-25,"Press Conference of the CNB Bank Board 1st Situation Report on Economic and Monetary Developments 25 January 2007 The monetary policy decision taken and the ratio of the votes cast At the close of the meeting, the Board decided to leave the CNB two-week repo rate unchanged at 2.50 %. All six board members present voted in favour of this decision. Compared to the October forecast the rate of growth is slightly lower in 2007 and 2008. Expected inflation pressures from the real economy are similar compared to the October forecast for the beginning of the forecasting period. They grow in the beginning of the year 2007, but decline during the year. In 2008, the real economy will have an antiinflationary effect. Compared to the October forecast, inflation is lower in 2007 and 2008 but this difference gradually decreases during 2008. Inflation at the monetary policy horizon (2008 H1) remains in the upper part of the tolerance band of the inflation target. The January forecast Forecast for inflation (CPI) in: December 2007 (+4 quarters) 2.4  3.8 % June 2008 (+6 quarters) 2.8  4.2 % Forecast for GDP growth in: 2007 4.4 - 6.2 % 2008 3.1 - 6.5 % Major uncertainties of the forecast lower oil and petrol prices foreign economic outlook koruna exchange rate development revision of the consumer basket future fiscal development."
