country,date,statement
Philippines,2006-01-11,"At its meeting today, the Monetary Board maintained the BSP's key policy interest rates at 7.5 percent for the overnight borrowing or reverse repurchase (RRP) rate and 9.75 percent for the overnight lending or repurchase (RP) rate. The Monetary Board noted that recent evidence of easing inflation pressures supports an unchanged policy setting. Easing energy prices, favorable food prices and the appreciation of the peso should help keep price pressures at bay in the near term. In addition, demand-side pressures on consumer prices appear to be still limited given the sustained deceleration in core inflation, indications of easing money growth and the slowdown in aggregate demand, particularly consumer spending. There has also been relatively little indication thus far of second-round effects from ongoing supply shocks. Nonetheless, there continue to be a number of risks to the inflation outlook. World energy prices continue to be the dominant source of uncertainty in the outlook for inflation given limited global surplus production capacity. Moreover, there is still the risk of second-round effects given the expected price pressures in the pipeline. Potential shifts in the public's inflation expectations likewise continue to be a policy concern. The Monetary Board reiterates that it remains committed to the BSP's price stability objectives and will continue to closely monitor the evolving conditions for consumer prices, aggregate demand, domestic liquidity and other factors in order to determine the appropriate stance of monetary policy and undertake action if necessary. Monetary authorities also continue to support the National Government's use of non-monetary measures to address supply-side risks, particularly those related to food supply and the effects of high oil prices, and will thus continue to strengthen representation and coordination with the relevant government agencies."
Chile,2006-01-12,"Central Bank of Chile Santiago, 12 January 2006 Press Release* In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided to maintain the monetary policy interest rate at 4.5% (annual). Annual inflation is within the 2%-4% target range and core inflation measures CPIX and CPIX1 (that exclude fuels, perishables and some regulated rates, among others) have remained below 3% per annum. Other inflationary trend indicators and the various measures of expected inflation continue to be well anchored. Projections are that—after being temporarily around 4% per annum during the first quarter— the rate of inflation will be under 3% for some time to later converge to the center of the target range in the normal policy horizon of 12 to 24 months. Economic activity has resumed a growth pace above the trend, which implies that the deceleration of previous months may have been partly transitory. Although the annual growth pace of job creation has moderated, salaried employment continues to grow vigorously. The external environment concerning the Chilean economy is still favorable and domestic financial conditions continue to be expansionary. The decision to pause is no indication of a change in the strategy of normalization of the monetary impulse. The Board estimates that further increases in the interest rate in future months are still necessary to attain, in the most likely scenario, an annual inflation rate around 3% over the normal policy horizon. * The Spanish original prevails."
Euroarea,2006-01-12,"Ladies and gentlemen, the Vice-President and I would first like to express to all of you our best wishes for the New Year and welcome you to this press conference. Let me now report on the outcome of today's meeting of the ECB's Governing Council, which was also attended by Commissioner Almunia. On the basis of our regular economic and monetary analyses, we have decided to keep the key ECB interest rates unchanged following the increase of 25 basis points on 1 December 2005. The information which has become available since then supports the assessment that an adjustment of our very accommodative monetary policy stance was warranted. It remains essential to keep medium to long-term inflation expectations in the euro area solidly anchored at levels consistent with price stability. Such anchoring of inflation expectations is a prerequisite for monetary policy to make an ongoing contribution towards supporting economic growth and job creation in the euro area. Maintaining price stability over the medium term is our guiding principle, and we will consistently apply it when examining new information, making our judgements and taking decisions. With interest rates across the whole maturity spectrum remaining historically low in both nominal and real terms, and with our monetary policy stance remaining accommodative, we will continue to monitor very closely all developments with respect to risks to price stability over the medium term. Allow me to explain our assessment in greater detail, turning first to the economic analysis. According to the information available, real GDP growth did indeed improve in the second half of 2005, as we expected. According to Eurostat's first estimate, real GDP grew at a quarter-on-quarter rate of 0.6% in the third quarter of 2005, compared with 0.4% in the second quarter. The breakdown of GDP data for the third quarter of 2005 confirmed a stronger contribution from domestic demand. Moreover, recent economic indicators and survey data support the view that the expansion of economic activity broadly maintained its momentum in the fourth quarter of 2005 and will continue to do so in the first months of 2006, notwithstanding the impact of high oil prices. Looking further ahead, the conditions remain in place for sustained growth of economic activity, in line with our staff projections and other available forecasts. On the external side, the continued strength of global demand should support euro area exports. On the domestic side, investment should further benefit from continued very favourable financing conditions, robust corporate earnings and gains in corporate efficiency. Consumption growth should gradually rise, broadly in line with expected developments in disposable income. Risks to this outlook for economic growth continue to lie on the downside and relate to high and volatile oil prices, concerns about global imbalances and the level of consumer confidence in the euro area, although the latter is improving. Turning to price developments, annual HICP inflation was 2.2% in December, according to Eurostat's flash estimate, compared with 2.3% in November and 2.5% in October. This decline was the result of some relaxation of earlier tensions in oil and petrol markets. Nevertheless, annual HICP inflation rates are expected to remain at elevated levels over the short term, mainly on account of the most recent increases in oil prices and some adverse base effects. Beyond the short term, indirect effects of past oil price rises on other components of the price index may gradually materialise, and already announced changes to administered prices and indirect taxes can be expected to have an upward impact. Meanwhile, wage increases have remained moderate over recent quarters. All in all, the information available remains consistent with the scenario for price developments as reflected in the December staff projections. Risks to this scenario remain on the upside and include further rises in oil prices, additional increases in administered prices and indirect taxes, as well as  more fundamentally  potential second-round effects in wage and price-setting behaviour. It is therefore crucial that the social partners continue to meet their responsibilities also in the context of a more favourable economic environment. Turning to the monetary analysis, the annual growth rate of M3 moderated somewhat in November, but remained very robust, mainly owing to the stimulative impact of the prevailing low level of interest rates. The strong growth of M3 continues to be driven by significant contributions from its most liquid components. The growth of loans to the private sector  and, in particular, mortgage borrowing  has strengthened further over recent months, from already rapid rates of growth. Against this background, price dynamics in the housing markets need to be monitored closely. Liquidity in the euro area remains ample by all plausible measures. Strong monetary and credit growth in a context of already ample liquidity in the euro area points to upside risks to price stability over medium to longer horizons. To sum up, the economic analysis suggests that some upward impact on HICP inflation will result from the indirect effects of recent oil price rises and already announced changes to administered prices and indirect taxes. It also indicates that risks to price stability over the medium term remain on the upside. This assessment is confirmed by cross-checking the economic analysis with the monetary analysis. It is essential that such risks do not affect medium-term inflation expectations, which need to remain firmly anchored at levels consistent with price stability. Monetary policy can thereby effectively contribute to sustainable economic growth and job creation. Accordingly, we will continue to monitor very closely all developments with respect to risks to price stability over the medium term. As regards fiscal policy, most euro area countries have submitted their updated stability programmes, which include their medium-term budget plans. The upcoming assessment of these programmes by the ECOFIN Council and their subsequent implementation provide an opportunity to forcefully underpin the commitment to sound fiscal policies and the rigorous implementation of the Stability and Growth Pact. This effect is likely to be considerable if emphasis is given to well-defined and credible consolidation measures, restraint in expenditure commitments, and the incorporation of fiscal measures into a comprehensive and growth-friendly reform agenda. With respect to structural reforms, the Governing Council welcomes the ECOFIN Council's Conclusions of 6 December 2005 on the Lisbon National Reform Programmes and the intended response to the challenges of globalisation. In fact, the process of international economic and financial integration, characterised by strong growth in trade and capital flows, has been one of the driving factors behind the rise in Europe's prosperity over the past decades. The ongoing transformation of the world economy, reflecting technological advances and the entrance of new economies into the world market, again offers great opportunities in terms of higher living standards. In order to translate these chances into achievements. Europe would greatly benefit from more flexible labour and product markets so as to speed up the necessary changeover from contracting to expanding activities and to minimise adjustment costs. It would also profit considerably from a more stimulative business environment which fosters the ability to innovate, invest and create new firms. Moreover, a fully operational EU internal market, including for services, offers great opportunities. The initiatives taken to relaunch the Lisbon strategy are a welcome step in the right direction."
South Korea,2006-01-12,"The Bank of Korea Monetary Policy Decision The Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (3.75%) for the intermeeting period. (An unofficial English translation based on the Korean original of the decision on monetary policy taken by the Monetary Policy Committee on January 12, 2006 is attached). In the real economy, while exports continue to exhibit robust growth and private consumption has seen a rapid pace of increase, facilities investment has shown a recovery momentum. On the other hand, an improvement of construction investment has not yet been sufficient. Meanwhile, the current account is still running a surplus, thanks to that on the goods account. Both consumer price inflation and core inflation maintain overall stability. Nevertheless, there are latent inflationary pressures due to the economic recovery and persistently high oil prices. Real estate prices have shown a rebound in certain areas. In the financial markets, overall liquidity conditions are favorable and financial institutions‘ loans continue to increase steadily. Taking the above economic and financial conditions into consideration, the Monetary Policy Committee of the Bank of Korea decided today to maintain the benchmark call rate (uncollateralized overnight rate) at its current level (3.75%) for the intermeeting period."
Peru,2006-01-15,"Press Release MONETARY PROGRAM FOR JANUARY 2006 CENTRAL BANK RAISES REFERENCE RATE FROM 3,25% TO 3,50% The Board of the Central Bank acknowledge the following information: The Consumer Price Index of Metropolitan Lima (CPI) increased 0,4 percent in December. Thus, the inflation rate registered in 2005 was 1,5 percent, at the lower limit of the target range (1,5 percent  3,5 percent). With this result the inflation target is accomplished by fourth consecutive year. Since 2006, the inflation target will be evaluated continuously. The economic activity has a sustained growth, being forecasted a 6,3 percent growth for 2005, the highest rate observed since 1997. The growing tendency of the trade balance surplus continues, being forecasted a record level for 2005 of US$ 4 751 million (equivalent to 6 percent of GDP and greater in US$ 1 958 million than the previous year). The average exchange rate increased 1,4 percent in December from 3,38 per dollar in November to 3,43 per dollar in December. Thus, in 2005, the sol depreciated 4,4 percent in nominal terms and 4 percent in real terms. In December, the Bank intervened with US$ 644 million in the foreign exchange market with foreign currency sales by US$ 345 million and Adjustable Certificates of Deposits (CDRBCRP) by US$ 300 million to avoid excessive market volatility. During last month, the bank's balance of net forward sales increased in US$ 581 million, the public purchases of dollars in the spot market were US$ 80 million and the bank's exchange position grew by US$ 40 million. The possibility of this raising volatility in the electoral period had been already anticipated in the Inflation Report, against which the Central Bank preventively accumulated exchange position and international reserves in the last two years (US$ 2,9 billion and US$ 3,9 billion, respectively), reaching balances of US$ 7 451 million and US$ 14 097 million, respectively, at the end of 2005. The average interest rate of the interbank market was 3,33 percent in December, higher than the one observed in the previous month (3,02 percent), while the corporate prime rate for loans in soles passed from 4,0 percent to 4,4 percent. In this month, the BCRP carried out 35 repo auctions in order to stabilize the interbank interest rate around the reference interest rate (3,25 percent in December). The Board of the Central Bank approved to raise the reference interest rate for the interbank market from 3,25 percent to 3,50 percent. This decision has been take considering: The dynamism of the economic activity for 2006 (5,0 percent) is consistent with the inflation target (from 1,5 to 3,5 percent). The raise in the interest rate will cooperate to reduce the exchange rate volatility. The Bank will continue, if necessary, selling exchange currency and auction of Adjustable Certificate Deposits (indexed to the exchange rate) to reduce the pressure over prices, the stability on the exchange rate, and the economic activity in general. As mentioned in the December Press Release, this decision does not imply a sequence of raises in the reference interest rate. It was approved to raise the lending and deposits interest rates for the Central Bank operations: For direct repos and monetary regulation credits, the rate raises to 4,25 percent. For overnight deposits, the rate raises to 2, 75 percent. In the case that the interbank interest rate be higher than 4,25 percent, monetary regulation credits and direct repos will be charged with the market interbank interest rate. The interest rates for the following operations in dollars between the Central Bank and the Financial System are: Monetary regulation credits: 1-month LIBOR plus one percent point. Overnight deposits: overnight LIBOR minus 3/8 of a percentage point. Swap: the commission raises to a level that implies a minimum annual effective cost of 4,25 percent. Reserve requirement in foreign deposits subject to payment: 2,25 percent. For 2006, the Board of the Central Bank will release its monthly monetary program the following dates: February 2nd March 2nd April 6th May 4th June 1st July 6th August 3rd September 7th October 5th November 2nd December 7th The Central Bank will release its Inflation Report the following dates: February 3rd June 2nd October 6th."
Thailand,2006-01-18,"Monetary Policy Committee's Decision on 18 January 2006 Ms. Atchana Waiquamdee. Assistant Governor of the Monetary Policy Group. Bank of Thailand, announces that the Monetary Policy Committee (MPC) met today to assess the latest economic developments and trends in order to determine the appropriate monetary policy stance. The main issues discussed are as follows: 1. During the first eleven months of 2005, the Thai economy continued to expand. Despite a slight moderation in domestic demand in the fourth quarter, external demand was still robust and is expected to remain so in 2006. The MPC viewed that the growth momentum should carry on going forward, being supported by a positive outlook on exports and private investment. Pressure on internal stability remains. Although headline inflation softened from 59 per cent in November to 58 per cent in December, core inflation edged up from 24 per cent to 26 per cent. External stability has improved, however, as the current account turned around from being in deficit throughout the first half of 2005 to being in surplus since July. The MPC viewed that the Thai economy still has momentum for a continued expansion while headline inflation begins to moderate. Nevertheless price pressure remains and the real interest rates are still negative. Against that background, the MPC judged that the policy interest rate should be raised again to keep future core inflation within the target. The MPC therefore decided to raise the 14-day repurchase rate by 25 basis points from 400 to 425 per cent per annum, effective immediately."
Egypt,2006-01-19,"Central Bank of Egypt Press Release January 19, 2006 The Central Bank of Egypt decided to reduce its overnight deposit rate by 50 basis points to 825 percent per annum and cut the discount rate by one percen. In its monthly meeting held on January 19, 2006, the Monetary Policy Committee (MPC) decided to reduce the overnight deposit rate to 825 percent from 875 percent and the overnight lending rate to 1025 percent from 1075 percen. This was coupled with another decision to cut the discount rate to 9 percent from 10 percen. This decision was based on an assessment of recent economic developments, in particular the consistently declining inflation rates and easing inflationary pressure. In addition, the recent economic developments reveal that the pick up in economic growth has accelerated in late 2004/05 and early 2005/0. However this acceleration has not been inflationar. The MPC will continue to closely monitor all economic developments, especially the factors underlying inflation, and will not hesitate to adjust the key CBE rates in either direction, if necessary, to ensure price stability over the medium-ter. The Central Bank of Egypt Contact person Name: Mr. Tarek Amer - Deputy Governor Telephone number: 3918270-3921012 e-mail address: tarekamer@cbeorge."
Malaysia,2006-01-20,"On 20 January 2006, at its first meeting for the year 2006. Bank Negara Malaysia's Monetary Policy Committee (MPC) decided to leave the Overnight Policy Rate (OPR) unchanged at 3 percent. Malaysia's economic growth is expected to gain momentum in 2006, with the risk of inflation still remaining. Going forward. Bank Negara Malaysia will continue to assess developments in the domestic and international economy and their implications for the medium term prospects for growth and inflation. Bank Negara Malaysia 20 January 2006."
Hungary,2006-01-23,"1. At its meeting on 23 January 2006, the Monetary Council considered the latest economic and monetary developments and left the central bank base rate unchanged at 6.00%. Macroeconomic data released since its previous interest rate-setting meeting have not changed the Council's overall assessment of domestic economic performance. Consumer price inflation in December was broadly in line with expectations. In the medium term, the Council expects domestic economic growth to be balanced and inflation to be consistent with the 3% medium-term target. The year-on-year rate of inflation, at 3.3% in December, was below the 4% target, remaining within the ±1 tolerance band; and core inflation fell to 1.3%, a historical low. The Council's expectation is that core inflation will rise to levels around 3% in the medium term. The reduction in VAT rates in January has made it more difficult to evaluate inflation developments, and is also likely to introduce a degree of uncertainty to distinguishing between persistent and temporary effects in the months ahead. Short and long-term yields both fell in the early weeks of 2006, simultaneously with the increase in investors' risk appetite around the world. However, significant risks continue to surround Hungary's economic balance and convergence process. In the Monetary Council's view, official interest rates are currently at adequate levels to meet the medium-term inflation objective. The Council continues to stress the importance of reducing the general government borrowing requirement, in order to achieve sustainable economic growth and keep inflation on track around the target. Delays in fiscal consolidation will increase the vulnerability of the Hungarian economy and reduce the room for monetary policy manoeuvre. 2. The Council's evaluation of meeting the 2005 inflation target. The year-on-year rate of inflation, at 3.3% in December, was below the 4% target and remained within the ±1 tolerance band. This meant that the Bank's inflation target for 2005 was met, despite the rise in energy prices. In 2005, annual average consumer price inflation was 3.6% and annual average core inflation was 2.1%. Disinflation affected a wide range of products. Annual average core inflation, the best gauge of long-term inflation developments, fell to 1.3% towards end-2005. Rapid disinflation of prices showing fairly stable movements is a sign of price stability becoming broad based. The fall in inflation was particularly marked in the case of goods competing with imports, which may have been explained by a combination of global, regional as well as domestic developments. Tradables prices also fell to historical lows in developed countries, implying that imported inflation remained slow. Disinflation of tradables prices was also explained by changed trade patterns in the aftermath of Hungary's EU accession and by the resulting increase in competition in the domestic market. Finally, following the financial market turbulence, characterising the second half of 2003, the exchange rate appreciated and then stabilised, which also supported the disinflation process. In early 2005, inflation developments showed clear signs of returning to a more stable path; and the one-off price increasing effect of the 2004 tax measures did not build in expectations. Domestic demand did not trigger significant inflationary pressure. Household consumption growth was moderate throughout the whole year, remaining significantly below the rates of earlier years, and contributed to the pattern of economic growth becoming more favourable. Simultaneously with improvements in the investment climate and the outlook for inflation, the Council continued the series of small interest rate reductions  begun in spring 2004  with further pronounced cuts. As a result of the Council's interest rate policy, the base rate fell to 6.00% by year-end, while the forint exchange rate remained in a territory which contributed to inflation returning to levels consistent with price stability. Despite the significant fall in short-term yields, however, the continued high level of long-term yields continues to reflect the risks to the long-term economic path. Labour market developments also supported the fall in inflation. The pick-up in business activity was fuelled by higher corporate productivity and, consequently, it did not increase the demand for labour. Rising labour supply also reduced wage inflation pressure. Private sector wage inflation was downwards from 2004 H2, and the rise in corporate sector ULC slowed to levels consistent with price stability."
Israel,2006-01-23,"23.1.2006 The Bank of Israel's interest rate for February 2006 up by 25 basis points to 4.75 percent The interest rate for February 2006 will rise by 25 basis points to 4.75 percent. Thisincrease is required to continue to support price stability within the limits of the inflation target range set by the government, defined as betweenone percent and three percent inflation a year. The decision to raise the interest rate at this time was based on the expectation thatthe rise in interest rates abroad would continue, and in particular in theUS, and that the contraction of the interest-rate differential between thesheqel and the dollar would affect the exchange rate and hence inflation. The current rise in the interest rate will strengthen the resilience of theeconomy, especially in the light of heightened geopolitical uncertainty, and against the background of the continued relatively rapid growth that is expected to lead to the closure of the output gap and thus to upward pressure on prices. Expectations of inflation one year forward are consistent with the target range, but these are based on market assessments that the interest rate will rise. The Bank ofIsrael will continue to monitor economic developments closely, with the intention of achieving the government's inflation target. The Bank will continue to support the attainment of the range of objectives of economic policy, particularly in the areas of encouraging employment and growth, and will strive to maintain the stability of the financial system. In this context it should be emphasized that fiscal discipline constitutes an important element in the continued maintenance of economic stability. 23.1.2006 The Bank of Israel's interest rate for February 2006 up by 25 basis points to 4.75 percent. The Bank of Israel's interest rate for February 2006 up by 25 basis points to 4.75 percent. The interest rate for February 2006 will rise by 25 basis points to 4.75 percent."
