country,date,statement
Romania,2009-01-06,"In its meeting of January 6, 2009, the Board of the National Bank of Romania has decided the following:. The NBR Board is restating that the central bank will continue to closely monitor domestic developments and global economic evolutions so as to adequately adjust its instruments to ensure the achievement of its objectives related to both price stability and financial stability, in the context of a balanced macroeconomic policy mix. The analysis of the latest macroeconomic developments shows a continuation of the disinflation process and a slowdown of economic growth amid lower investment expansion, especially in the construction sector, diminished industrial output and reduced export orders. The elevated uncertainties related to the magnitude of the impact of the international crisis on the Romanian economy are worth noting. In November 2008, the annual inflation rate dropped to 6.74 percent from a peak of 9.04 percent in July, being still above the upper limit of the variation band around the 2008 target. The adjusted CORE2 inflation - calculated by excluding the impact of administered and volatile prices (vegetables, fruit, eggs and fuel) as well as the effect of vice tax - has also slowed, its annual rate falling to 6.4 percent in November. On the other hand, the depreciation of the average annual leu-euro exchange rate (9.3 percent in 2008 compared to the previous year) is fueling inflationary pressures. These pressures are likely to remain high as the correction of the external deficit is ongoing and the adjustment of the domestic demand will proceed gradually. As world financial market turmoil has deepened and investors' risk aversion has increased, the volatility of the leu exchange rate has intensified, in line with developments registered by other currencies in the region. The annual increase in real terms of credit to the private sector has moderated under the impact of reduced access of banks to external financing, of a gradual reduction of the excess liquidity in the banking sector, as well as of increased prudence of banks amid growing uncertainties related to the effects of the global crisis on the Romanian economy. The diminished external financing in the context of heightened global financial turmoil, along with increased public spending in the last months of 2008 have triggered a rise in interest rates, which remain at relatively high levels, well above the monetary policy rate. Therefore, the financing of the public deficit in this period, along with a continuation of the lending process require a gradual provision of adequate liquidity in the banking system in a manner that would not encourage exchange rate volatility. Under these circumstances, the consolidation of disinflation and the ensuring of a sustainable financing of the Romanian economy amid heightened international financial market turmoil, require the maintenance of the present monetary policy stance in support of the formulation and implementation of a balanced macroeconomic policy mix. The implementation of the measures announced by the new government aimed at cutting the budget deficit simultaneously with a reorientation of public spending mainly towards investment and job creation are essential to support continued disinflation and a controlled adjustment of the external deficit, as prerequisites for achieving sustainable economic growth. In light of the available data, the NBR Board has decided to maintain the monetary policy rate at 10.25 percent per annum, to pursue an adequate management of liquidity in the banking system, through the active use of open-market operations, and to leave unchanged the existing minimum reserve requirement ratios on both leu-denominated and foreign currency-denominated liabilities of credit institutions. The NBR Board is restating that the central bank will continue to closely monitor domestic developments and global economic evolutions so as to adequately adjust its instruments in order to ensure the achievement of its objectives related to both price stability and financial stability, in the context of a balanced macroeconomic policy mix. The next NBR Board meeting dedicated to monetary policy is scheduled on February 4, 2009, when the quarterly Inflation Report is to be examined."
Chile,2009-01-08,"Central Bank of Chile Santiago, 8 January 2009 Press Release* In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided to reduce the monetary policy interest rate by 100 basis points, to 7.25% (annual). This decision is grounded on the prospects of a significant fall in medium- term inflation, due to the drastic change in the macroeconomic outlook. Internationally, credit conditions remain under stress, although there has been some relief in interbank liquidity while financial volatility has diminished. The latest data confirms a severe slowdown of the global economy in the fourth quarter. Commodity prices have remained at low levels. Domestically, available information for fourth-quarter output and demand reveals significant deceleration. Unemployment is stable and tight lending standards persist. The government announced a sizeable fiscal stimulus program. In December 2008, monthly inflation was negative, beyond expectations. Monthly measures for core inflation showed a reduction. Meanwhile, wage dynamics continue to be in line with historical patterns and inflation expectations have fallen. The Board considers that, in the most likely scenario, a process of monetary easing will continue, whose pace will depend on inflation perspectives. Accordingly, the Board reaffirms its commitment to conduct monetary policy so as to reduce the current high inflation rates to 3% over the policy horizon. * The Spanish original prevails."
South Korea,2009-01-09,"The Bank of Korea Monetary Policy Decision The Monetary Policy Committee of the Bank of Korea decided today to lower the Base Rate by 50 basis points from 3.00% to 2.50%. In a related action, the Committee also lowered the interest rates on Aggregate Credit Ceiling Loans by 25 basis points from 1.75% to 1.50%. (The following is an English translation of the Monetary Policy Committee statement). The Monetary Policy Committee of the Bank of Korea decided today to lower the Base Rate by 50 basis points from 3.00% to 2.50%. Domestic economic activity is slackening at a rapid pace. The sluggishness of domestic consumption and investment has deepened further and exports have decreased significantly owing to the worldwide economic slowdown. The downside risk to economic growth is considered to have been heightened by the persistent financial market unrest including the credit crunch. Consumer price inflation has been decelerating steadily due to the fall in international oil prices and the impact of the economic downturn and the trend seems set to continue for some time. In the real estate market, prices and transaction volumes have continued to decline. There has been some moderation in the instability of financial market price variables such as the exchange rate and stock prices. Firms are nevertheless having considerable difficulties in fund-raising since financial institutions, wary of credit risk, are very conservative in the operation of their funds. Looking ahead, the Committee will do what is needed to improve liquidity conditions and to ward off the risk of a severe slowdown in economic activity."
Nigeria,2009-01-14,"CENTRAL BANK OF NIGERIA COMMUNIQUE NO. 60 OF THE MONETARY POLICY COMMITTEE. JANUARY 14th , 2009 The Monetary Policy Committee (MPC) of the Central Bank of Nigeria (CBN) met today. January 14, 2009, and reviewed the developments in the foreign exchange market vis a vis Nigeria's external reserves position and macro economic developments. It noted that the preliminary estimate of the GDP growth rate for the end of 2008 was an impressive 68% compared with 62% in 2007. It also noted that inflationary pressure remained high throughout the year and provisional figures indicate that the end December headline inflation was 146% while estimated core (non-food) Inflation rate was at 92%. It also reviewed the developments in the oil market as well as capital flows into the economy in 2008 and the prospects for 2009. MPC also reviewed the recent developments in the foreign exchange market and the depreciation of the naira in the light of decreased supply of foreign exchange vis a vis increased demand. It noted the uncertainties and the speculative pressures in the foreign exchange market. The MPC noted that while it is desirable to allow the exchange rate to adjust in response to market conditions, the CBN remains determined to restore stability to the market. Consequently the MPC decided as follows: 1. In the meantime, the CBN is reintroducing the Retail Dutch Auction System (RDAS), with effect from Monday. January 19, 2009, and will be conducted on Mondays and Wednesdays. We will revert to WDAS at the appropriate time. Bids for the purchase of foreign exchange under the RDAS must be cash-backed at the time of the bid. Funds purchased from CBN at the Auction shall be used for eligible transactions only, subject to stipulated documentation requirements. Such fund shall NOT be transferable in the inter- bank foreign exchange market. Authorised Dealers shall return to the CBN any unutilised funds within five business days after delivery, at the rate of purchase. Purchases by banks on behalf of their customers will be published in the dailies fortnightly. Interest earned on Letters of Credit established and for which settlement has not been effected, shall be repatriated to the CBN for repurchase at the bid rate at the time the funds were purchased. The foreign exchange Net Open Position (NOP) of banks will be reduced from 10% to 5% with effect from Monday. January 19, 2009. CBN remains committed to Section 15 , of the Foreign Exchange (Monitoring and Miscellaneous Provisions) Act of 1995, which guarantees unconditional transferability of funds in respect of loans, and portfolio and foreign direct investments into Nigeria. Chukwuma C Soludo CFR. Governor. Central Bank of Nigeria. Abuja. January 14, 2009 2."
Thailand,2009-01-14,"Monetary Policy Committee's Decision on 14 January 2009 Ms. Duangmanee Vongpradhip. Assistant Governor of the Monetary Policy Group. Bank of Thailand, announces that the Monetary Policy Committee (MPC) met today to assess the latest economic developments and trends in order to determine the appropriate monetary policy stance. The main issues discussed were as follows. The global financial crisis resulted in a significant slowdown of growth in industrial economies, which had a marked impact on exports of regional economies and led to a contraction in Thai exports. In addition, domestic demand continued to soften, both in consumption and investment, partly as a result of fragile sentiment. However the domestic political situation, which began to show signs of increasing stability, should help enable the government to implement its economic stimulus measures going forward. Inflation remained low as a result of the significant decline in oil and commodity prices due to weaker global economic conditions and domestic demand. The MPC thus viewed that monetary policy could be eased further to support the economic recovery, particularly as the economy continued to face numerous negative risks, both on the domestic and external fronts, and the impact of fiscal stimulus would take some time to materialize. The MPC therefore decided to lower the policy interest rate by 075 percent per annum, from 275 per cent per annum to 200 per cent per annum, effective immediately."
Euroarea,2009-01-15,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference of 2009. I would also like to take this opportunity to welcome Slovakia as the 16th country to adopt the euro as its currency. Accordingly. Mr Šramko, the Governor of Národná banka Slovenska, became a member of the Governing Council on 1 January 2009. Following the adoption of the euro by Slovakia there are now 329 million citizens using the euro as their currency. We will now report on the outcome of today's meeting of the Governing Council, which was also attended by Commissioner Almunia. On the basis of its regular economic and monetary analyses, the Governing Council decided to reduce the interest rate on the main refinancing operations of the Eurosystem by a further 50 basis points, bringing the total reduction since 8 October 2008 to 225 basis points. Today's decision takes into account that inflationary pressures have continued to diminish, owing in particular to the further weakening in the economic outlook. Looking forward, we continue to expect inflation rates in the euro area to be in line with price stability over the policy-relevant medium-term horizon, thereby supporting the purchasing power of incomes and savings. After today's decision we consider risks to price stability over the medium term to be broadly balanced. This takes into account the latest economic data releases and survey information, which add clear further evidence to the assessment that the euro area is experiencing a significant slowdown, largely related to the effects of the intensification and broadening of the financial turmoil. Both global demand and euro area demand are likely to be dampened for a protracted period. Monetary expansion is moderating further, supporting the assessment that inflationary pressures and risks are diminishing. All in all, the level of uncertainty remains exceptionally high. The Governing Council will continue to keep inflation expectations firmly anchored in line with its medium-term objective of inflation rates below, but close to, 2%. This supports sustainable growth and employment and contributes to financial stability. Accordingly, we will continue to monitor very closely all developments over the period ahead. Allow me to explain our assessment in greater detail, starting with the economic analysis. Since September 2008 the financial market turmoil has intensified and broadened. Tensions have increasingly spilled over from the financial sector into the real economy. As a result, economic activity throughout the world, including in the euro area, has weakened further. In particular, foreign demand for euro area exports has declined, and euro area domestic activity has contracted in the face of weaker demand prospects and tighter financing conditions. The survey data and monthly indicators for November and December that have become available since our last meeting clearly point to a further weakening of economic activity around the turn of the year, indicating the materialisation of previously identified downside risks to activity. Looking further ahead, on the basis of our current analysis and assessment, we continue to see global economic weakness and very sluggish domestic demand persisting in the coming quarters as the impact of the financial tensions on activity continues. At the same time, we expect the fall in commodity prices to support real disposable income in the period ahead. Furthermore, the euro area should over time reap the full benefit from the effects of policy measures announced over recent weeks. In the view of the Governing Council, this outlook for the economy remains surrounded by an exceptionally high degree of uncertainty. Overall, risks to economic growth remain clearly on the downside. They relate mainly to the potential for a stronger impact on the real economy of the turmoil in financial markets, as well as to concerns about the emergence and intensification of protectionist pressures and to possible adverse developments in the world economy stemming from a disorderly correction of global imbalances. It is crucial that all parties concerned make their contribution to lay sound foundations for a sustainable recovery. For this to materialise as early as possible, it is of the utmost importance to maintain discipline and a medium-term perspective in macroeconomic policy-making, pursuing a stability-oriented and sustainable approach. The significant measures being implemented by governments to deal with the financial turmoil should help to ensure trust in the financial system and to ease constraints on credit supply to companies and households. With regard to price developments, annual HICP inflation has declined substantially since the middle of 2008, when it peaked at 4.0%. As we have emphasised on previous occasions, the significant decline in headline inflation in the second half of 2008 reflects mainly the sharp falls in global commodity prices over the past few months. Looking forward, lower commodity prices and weakening demand confirm that inflationary pressures in the euro area are diminishing. Owing mainly to base effects stemming from the past behaviour of energy prices, headline annual inflation rates are projected to decline further in the coming months, possibly reaching very low levels at mid-year. However, also owing to base effects stemming from past energy price developments, inflation rates are expected to increase again in the second half of the year. Hence it is likely that HICP inflation rates will fluctuate sharply during 2009. Such short-term volatility is, however, not relevant from a monetary policy perspective. Looking over the policy-relevant, medium-term horizon, annual HICP inflation is expected to be in line with price stability. This assessment is supported by available indicators of inflation expectations for the medium term. Risks to price stability over the medium term are broadly balanced. Unexpected further declines in commodity prices or a stronger than expected slowdown in the economy could put downward pressure on inflation, while upside risks to price stability could materialise particularly if the recent fall in commodity prices were to reverse or if domestic price pressures turn out to be stronger than assumed. It is therefore crucial that price and wage-setters fully live up to their responsibilities. Turning to the monetary analysis, the latest evidence confirms a moderating rate of monetary expansion in the euro area. Monetary trends therefore support the view that inflationary pressures and risks are diminishing. In analysing monetary developments it should be recognised that the intensification of the financial market turmoil since mid-September has the potential to affect the evolution of monetary aggregates significantly. Recent money and credit data indicate that this has already had a substantial impact on the behaviour of market participants. Both the broad aggregate M3 and, in particular, the components of M3 that are most closely related to the ongoing financial tensions  such as holdings of money market funds  have shown high month-to-month volatility of late. Overall, however, looking to the extent possible through this volatility, the rate of broad money growth continues to moderate in line with the trend established over the past 18 months, with the intensification of financial tensions since September leading to significant substitution among the components of M3, rather than, at least so far, sharp changes in the trend of M3 itself. Turning to the evolution of bank loans, the tightening of financing conditions resulting from the intensification of the financial tensions has contributed to a slowdown in the flow of monetary financial institution (MFI) loans to the non-financial private sector in recent months. More data and further analysis are necessary to form a robust judgement about the severity and scope of credit constraints and their possible implications for economic activity. To sum up, we decided to reduce the interest rate on the main refinancing operations of the Eurosystem by a further 50 basis points, bringing the total reduction since 8 October 2008 to 225 basis points. Today's decision takes into account that inflationary pressures have continued to diminish, owing in particular to the further weakening in the economic outlook. The Governing Council recalls its operational decision, taken on 18 December 2008, to widen again the corridor formed by the rates on the Eurosystem's standing facilities as of 21 January 2009. Looking forward, we continue to expect inflation rates in the euro area to be in line with price stability over the policy-relevant medium-term horizon, thereby supporting the purchasing power of incomes and savings. After today's decision we consider risks to price stability over the medium-term to be broadly balanced. This takes into account the latest economic data releases and survey information, which add clear further evidence to the assessment that the euro area is experiencing a significant slowdown, largely related to the effects of the intensification and broadening of the financial turmoil. Both global demand and euro area demand are likely to be dampened for a protracted period. A cross-check of the outcome of the economic analysis with that of the monetary analysis confirms this view. Monetary expansion is moderating further, supporting the assessment that inflationary pressures and risks are diminishing. All in all, the level of uncertainty remains exceptionally high. The Governing Council will continue to keep inflation expectations firmly anchored in line with its medium-term objective of inflation rates below, but close to, 2%. This supports sustainable growth and employment and contributes to financial stability. Accordingly, we will continue to monitor very closely all developments over the period ahead. Regarding fiscal policies, the Governing Council welcomes the European Council's reconfirmation of its full commitment to sustainable public finances. In this respect, the current economic situation calls for particular prudence with regard to the adoption of extensive fiscal stimulus measures, taking into account the particular fiscal situation in each country. The operation of automatic stabilisers will provide a relatively large and powerful fiscal impulse to the weakening economy, in addition to already announced expansionary fiscal policy measures and the government support for the banking sector. Taken together, the additional measures decided so far put a considerable burden on public finances in a large number of euro area countries. If not reversed in due time, this will negatively affect in particular the younger and future generations. It is therefore essential to return to a credible commitment to medium-term budgetary objectives as soon as possible. The significant fiscal loosening and the implied increase in government debt should in any case not risk undermining public confidence in the sustainability of public finances, thereby detracting from the effectiveness of a fiscal stimulus. Turning to structural policies, the ongoing period of weak economic activity and high uncertainty about the economic outlook imply the need to strengthen the resilience and flexibility of the euro area economy. Product market reforms should foster competition and speed up effective restructuring. Labour market reforms should help to facilitate appropriate wage-setting, as well as labour mobility across sectors and regions. The current situation should therefore be seen as a catalyst to foster the implementation of necessary domestic reforms in line with the principle of an open market economy with free competition."
Peru,2009-01-15,"- MONETARY PROGRAM FOR JANUARY 2009 BCRP REDUCES RESERVE REQUIREMENTS BY ONE PERCENTAGE POINT AND MAINTAINS THE REFERENCE INTEREST RATE AT 6.50% The Board of the Central Reserve Bank of Peru approved to reduce minimum legal reserve requirements by 1 percentage point and to maintain the monetary policy reference interest rate at 6.50 percent. This measure is part of the series of policies that the Central Bank has been implementing since September 2008 to provide liquidity to the economy and to face the international financial crisis in order to preserve the normal functioning of the credit market. Inflation showed a rate of 0.36 percent in December and a rate of 6.65 percent in the last 12 months a level lower than the 6.75 percent rate observed in November. Inflation is expected to continue declining in the next months due to the effect of the recent drops seen in the international prices of food inputs and fuels, thus allowing inflation's convergence to the target. The Board continues to oversee the development of domestic demand and of the national and international economic and financial situation, as well as the evolution of inflation and its determinants. The Board also reiterates that the Central Bank will adopt any necessary measures to lead inflation to gradually converge to the target range and affirms its commitment to providing the economy with the required liquidity through monetary instruments. As long as inflation and inflation expectations continue converging to the target range, the Board will also adopt a more flexible monetary stance. The Board also approved to maintain the following annual interest rates on active and passive operations in domestic currency (not included in auctions) between the BCRP and the financial system: Direct repo and rediscount operations: 7.25 percent. Overnight deposits: 5.75 percent. Swap: a commission equivalent to a minimum annual effective cost of 7.25 percent. In 2009, the Board will approve the Monetary Program for the next months in the Board sessions to be held according to the following schedule: February 5 March 5 April 8 May 7 June 4 July 9 August 6 September 10 October 7 November 5 December 10 Moreover, in 2009 the BCRP will publish its Inflation Report on the following dates: March 13 June 12 September 18 December 18."
Romania,2009-01-15,"In its meeting of 15 January 2009, the Board of the National Bank of Romania approved the amendments to Regulation No. 11/2008 amending and supplementing NBR Regulation No. 3/2007 on limiting credit risk associated with loans to households. The NBR Board approved the aforementioned Regulation in August 2008 (implemented starting October 2008) with a view to strengthening the prudential framework and improving risk management in relation to household loans amid the ongoing crisis on global financial markets. Furthermore, the NBR stated that it would assess the impact of the Regulation on lending activity in January 2009. The analysis reveals that default rates are considerably lower among debtors with mortgage collaterals compared to other categories (e.g. unsecured consumer loans). In light of these assessments and in order to limit the fallout of the global crisis on the domestic economy, the NBR Board has deemed appropriate to make a distinction between lending requirements on mortgage-backed loans and those applicable to other loan categories, which requires amending the Regulation. Hence, the Board of the National Bank of Romania has decided that, based on in-depth analyses, lenders would have the possibility to calculate a higher indebtedness level for the borrowers that would have high-quality real estate assets as collateral for their credits. It should be mentioned that, in its capacity as a regulatory and supervisory authority, the National Bank of Romania defines the general framework for risk management in relation to credit institutions and non-bank financial institutions with a view to safeguarding financial stability. However, it is up to lenders themselves to set the actual lending and risk management conditions via their own lending rules, provided that they comply with the NBR guidelines in this field. Under these circumstances, lending developments hinge mainly on lenders' capability to sustainably raise the necessary financial resources and simultaneously on their compliance with prudential principles. The new provisions will enter into force as of their publishing date in the Official Gazette."
Turkiye,2009-01-15,"The Monetary Policy Committee (The Committee) has decided to lower the policy rates as follows: a) Overnight Interest Rates: Borrowing rate is decreased from 15 percent to 13 percent, while lending rate is decreased from 17.50 percent to 15.50 percent, b) Late Liquidity Window Interest Rates: Borrowing rate between 4:00 p.m.  5:00 p.m. is decreased from 11 percent to 9 percent, while lending rate is decreased from 20.50 percent to 18.50 percent, c) The interest rate on overnight and one-week maturity borrowing facilities provided for primary dealers via repo transactions is decreased from 16.50 percent to 14.50 percent. Recent readings indicate that the slowdown in the domestic economic activity has further intensified. Latest forecasts suggest that ongoing problems in international credit markets and the global economy will last longer than previously envisaged. Therefore, downward pressures on both domestic and external demand and inflation will continue. Moreover, significant drops in oil and other commodity prices are having a favorable impact on disinflation. The Committee predicts that inflation will be close to the target by mid-2009, and that the probability of undershooting the target by the end of the year has increased. The Committee has judged that moving forward a sizeable portion of the rate cuts envisaged for the coming months would help offset the tightening in financial conditions. The Central Bank will continue to take the necessary measures to contain the adverse effects of the global financial turmoil on the domestic economy, provided that they do not conflict with the price stability objective. Uncertainties regarding the impact of the problems in financial markets on the real economy remain at high levels. The extent and the timing of a possible future rate cut will depend on the factors affecting inflation outlook. It should be emphasized that any new data or information related to the inflation outlook may lead the Committee to revise its stance. The summary of the Monetary Policy Committee Meeting will be released within eight working days."
Hungary,2009-01-19,"1 At its meeting on 19 January 2009, the Monetary Council reviewed the latest economic and financial developments and reduced the central bank base rate by 50 basis points from 10.00% to 9.50%, with effect from 20 January 2008. Over the period ahead, the Council expects inflation to be below the medium-term target and the economy to suffer a sharp downturn. Data released over the past month indicate that the outlook for the real economy has deteriorated further. Domestic industrial production fell more sharply than expected; and indicators of global economic activity foreshadow a weaker outlook for external demand. As an effect of these factors, it seems likely that inflation will be lower than previously expected. Monetary policy should continue to take particular attention to preserving the stability of the financial intermediary system and to ensuring that capital flows remain balanced, in addition to focusing on inflation and real economic performance. Risks associated with external financing have recently declined gradually, coupled with an improvement in the ability of the financial intermediary system to absorb stress. However, there remains considerable uncertainty, with limited room for monetary policy manoeuvre. The Monetary Council took its decision to ease policy further consistent with the projections of an economic downturn and a sharp decline in inflation. The base rate may be reduced further in the coming months, if capital flows remain undisturbed and the stability of the financial intermediary system is preserved. 3 The Council's assessment of inflation performance in 2008. Although the consumer price index fell significantly over 2008 as a whole, it stayed consistently above the Bank's 3 per cent medium-term inflation target, and, except in the final month of the year, it even remained outside the ±1 per cent tolerance band. The annual average rate of inflation was 6.1 per cent; however, the consumer price index fell to 3.5 per cent in December. Inflation moved above the tolerance band in the second half of 2008. The high rates of inflation in the years 20062007 had in large part been caused by increases in administered prices, closely related to the fiscal adjustment measures. By contrast, in 2008 high inflation was due mainly to cost shocks of global origin, which, however, moderated in the second half of the year. Food and commodity prices rising at extremely rapid rates and with unpredictable magnitude up to mid-2008 played an important role in inflation moving above target. Monetary policy may influence inflation only with a lag  2008 inflation developments were influenced mainly by the monetary policy actions of 20062007. The inflationary effects of rises in food and commodity prices would only have been fully offset by a rapid and drastic tightening of policy. However, first, there was no scope for such action up to February 2008, due to the intervention band and, second, the Monetary Council saw no reason to do so, because of the significant real economic costs involved. The Council tightened policy in an effort to avoid the second-round effects of cost shocks. But the fall in inflation in the period to autumn 2008 was slower than the Bank expected, even after eliminating the effects of the unforeseen cost shocks. One reason for this was that back in 2007, the MNB thought the prospective decline in domestic demand in the wake of fiscal adjustment would lead to a sharp slowing in the rate of inflation. The eventual fall in demand did reduce inflation; however, the magnitude of the reduction in inflation was smaller than expected. And although the Bank continuously pointed out that the potential rate of growth was slowing, the magnitude of this was greater than expected. Consequently, the decline in demand over the period to autumn 2008 did not lead to a significant increase in spare capacity in the economy, and therefore, the fall in inflation had a less pronounced effect. Labour market developments also contributed to lower-than-expected inflation. In its wage-setting decisions, the private sector did not adjust fast enough to the weaker prospects for economic activity, as suggested by unit labour cost data. The sustained high inflation rates of past years may also have kept economic agents' inflation expectations at high levels. In the Monetary Council's view, the easing in inflation in autumn 2008 will continue, and the inflation target may be met in 2009. The Council will be committed to achieving a sustained reduction in inflation. In the future, economic agents taking their price and wage-setting decision consistent with the Bank's inflation target may contribute to the maintenance of price stability."
