country,date,statement
Romania,2008-01-07,"In its meeting of January 7, 2008, the Board of the National Bank of Romania has decided the following:. The analysis of the most recent statistical data reveals a continued high dynamics of domestic demand as investments picked up and consumption remained at an unsustainable level in the context of a rapid expansion of credit to the private sector, especially foreign currency loans. The rise of aggregate demand, boosted mainly by higher incomes and non-government credit dynamics, has been faster than the aggregate supply advance, causing exogenous shocks to feed through into prices and making the external deficit widen further. Wage growth stayed above labor productivity dynamics, and, besides the pressures exerted on the aggregate price level, has also emphasized the risks of deteriorating external competitiveness. Year-on-year inflation was 6.67 percent in November 2007, remaining above the upper limit of the target band, due to a steep increase in food prices and in the tariffs of services indexed to the leu's exchange rate. The short-term inflation outlook has worsened in the context of heightened macroeconomic risks, especially those related to the income policy and higher public spending in the run-up to forthcoming elections as well as uncertainties over investors' appetite for emerging market risk. Given this context, it is essential that a temporary inflation deviation outside the target band should not trigger relaxed wage and fiscal policies. The restrictiveness of the entire macroeconomic policy mix will help attain the inflation objectives agreed upon with the government, thus resuming the downward trend in inflation as well as ensuring sustainable economic growth in the medium term. The NBR Board believes that the persistence of demand-side pressures, along with prospects for prolonged effects of supply-side shocks, as well as the risks related to a possibly significant deterioration of inflation expectations require a tighter monetary policy stance. In light of available data, the NBR Board has decided to raise the monetary policy rate to 8.0 percent per annum from 7.5 percent. The NBR Board has also decided to continue to pursue a firm management of money market liquidity via open-market operations and to leave unchanged the existing minimum reserve requirement ratios on both leu- and foreign currency-denominated liabilities of credit institutions. These measures will ensure restrictiveness of broad monetary conditions in line with the aim of attaining medium-term disinflation objectives. Maintaining the already announced inflation targets, which were also agreed upon with the government, i.e. 3.8 percent for 2008 and 3.5 percent for 2009 plus/minus one percentage point, and implementing a restrictive economic policy mix will lead to an efficient anchoring of inflation expectations of both corporates and households in the context of uncertainties that plague the world economy. The NBR will vigilantly monitor developments in macroeconomic indicators and their outlook, both domestically and internationally, standing ready to adjust its instrument settings to counteract inflationary pressures in order to resume the assumed disinflation trajectory and achieve medium-term disinflation objectives in a sustainable manner. The next NBR Board meeting dedicated to monetary policy is scheduled for February 4, 2008, when a new quarterly Inflation Report."
Chile,2008-01-10,"Central Bank of Chile Santiago, 10 January 2008 Press Release* In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided to raise the monetary policy interest rate by 25 basis points, to 6.25% (annual). This decision is consistent with prospects of higher inflation due to recent surprises, and allows annual inflation to converge to 3% over the policy horizon. Internationally, although the markets' liquidity problems are now milder, the risk of further deceleration of the US economy has increased, with potential implications on other developed economies. Meanwhile, the prices of oil, copper and several foodstuffs remain high and above projections. Inflation in various economies has continued to rise. This configures an external scenario relevant to the Chilean economy with more adverse risks going forward. In the internal scene, recent output information does not modify the second semester scenario that was considered in the last meeting. On the domestic demand side, indicators of both consumption and investment remain dynamic. Salaried employment continues to grow, albeit at smaller rates. December's monthly CPI inflation was surprisingly high, taking annual inflation to nearly 8%. This was influenced by a slower seasonal reversal of prices of perishable foods and significant increases in a varied range of products. The various measures of trend inflation, including CPIX1 variation (which excludes fuels, perishable foods and some regulated utilities), continued to increase. Although inflation expectations for coming quarters have increased, for the long run they remain anchored around 3% per annum. The Board considers that it is appropriate to indicate that, although the future path of monetary policy will depend on incoming information and its implications for the inflation forecast, additional adjustments to the monetary policy rate may be necessary in order to ensure convergence of inflation to the target. Particularly important for this will be the unfolding of the international scenario, the evolution of the output gap and the potential propagation of recent inflationary shocks to other prices. * The Spanish original prevails."
Euroarea,2008-01-10,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our first press conference of 2008. I would also like to take this opportunity to welcome Cyprus and Malta as countries which have adopted the euro as their currency. With Cyprus and Malta, the euro area now comprises 15 EU Member States. Accordingly. Mr Orphanides, the Governor of the Central Bank of Cyprus, and Mr Bonello, the Governor of the Central Bank of Malta, became members of the Governing Council on 1 January 2008. Let me now report on the outcome of our meeting, which was also attended by Commissioner Almunia. On the basis of our regular economic and monetary analyses, we decided at today's meeting to leave the key ECB interest rates unchanged. According to the latest information, strong short-term upward pressure on inflation has continued, with HICP inflation remaining at 3.1% in December. As regards the medium term, and in a context of very vigorous money and credit growth, our assessment of upside risks to price stability has been fully confirmed. The Governing Council remains prepared to act pre-emptively so that second-round effects and upside risks to price stability over the medium term do not materialise and, consequently, medium and long-term inflation expectations remain firmly anchored in line with price stability. Reflecting its mandate, such anchoring is of the highest priority to the Governing Council. However, the ongoing reappraisal of risk in financial markets is still accompanied by uncertainty about its potential impact on the real economy and the risks surrounding the outlook for economic activity are on the downside. We will continue to monitor very closely all developments over the coming weeks. Allow me to explain our assessment in greater detail, starting with the economic analysis. The latest information on economic activity suggests that quarterly growth at the turn of the year was at a more moderate pace than the quarter-on-quarter rate of 0.8% observed in the third quarter of 2007 (revised upwards from 0.7%). This assessment is in line with indicators for business and consumer confidence which, while declining over the past few months, generally remain at levels that continue to point to ongoing growth. Our main scenario remains that of real GDP growth broadly in line with trend potential. The fundamentals of the euro area economy are sound, profitability has been sustained, employment growth has been robust and unemployment rates have fallen to levels not seen for 25 years. Consumption growth should therefore continue to contribute to economic expansion, in line with real disposable income, and investment growth should provide ongoing support. On the expectation that the global economy will, on balance, remain resilient  with the slowdown in economic growth in the United States being mitigated by the continued strength of emerging market economies  external demand should support euro area exports. That said, uncertainty about the prospects for economic growth remains high and the risks surrounding the outlook for economic activity lie on the downside. The latter relate mainly to a potentially broader than currently expected impact of the ongoing reappraisal of risk in financial markets on financing conditions and economic sentiment, with a negative impact on world and euro area growth. Further downside risks stem from the scope for additional oil and other commodity price rises, concerns about protectionist pressures and the possibility of disorderly developments due to global imbalances. With regard to price developments, according to Eurostat's flash estimate the annual HICP inflation rate was 3.1% in December 2007, unchanged from November. This confirms the strong upward pressure on inflation in the short term, stemming mainly from strong increases in oil and food prices in recent months. Looking ahead, the annual HICP inflation rate is expected to remain significantly above 2% in the coming months and is likely to moderate only gradually in the course of 2008. Hence, the period of temporarily high rates of inflation would be somewhat more protracted than previously expected. Moreover, it is important to stress that the expectation of a moderation in the rate of inflation  which is embedded in the December 2007 Eurosystem staff macroeconomic projections  assumes some reversal of the recent rises in commodity prices  in line with what is currently captured by futures prices  and, more fundamentally, that recent oil and food price dynamics and their impact on HICP inflation do not have broadly-based second-round effects on wage and price-setting behaviour. Risks to this medium-term outlook for price developments are fully confirmed to lie on the upside. These risks include the possibility that stronger than currently expected wage growth may emerge, taking into account capacity constraints and the positive developments in labour markets. Furthermore, the pricing power of firms  notably in market segments with low competition  could be stronger than expected. At this juncture, it is imperative that all parties concerned meet their responsibilities and that second-round effects on wage and price-setting stemming from current inflation rates be avoided. In the view of the Governing Council, this is absolutely essential in order to preserve price stability in the medium run and thereby the purchasing power of all euro area citizens. The Governing Council is monitoring wage negotiations in the euro area countries with particular attention. Any indexation scheme of nominal wages to prices should be eliminated. Finally, further rises in oil and agricultural prices, continuing the strong upward trend observed in recent months, as well as increases in administered prices and indirect taxes beyond those foreseen thus far, could materialise. The monetary analysis confirms the prevailing upside risks to price stability at medium to longer-term horizons. Money and credit have both continued to grow vigorously in recent months. The annual growth rate of M3 in November, unchanged at 12.3%, is likely to have been influenced by a number of temporary factors, such as the flattening of the yield curve, the financial market turmoil and specific transactions associated with the restructuring of certain banking groups. Nonetheless, even taking these special factors into account, the underlying rate of monetary expansion remains strong. Moreover, the sustained expansion of loans to the domestic private sector, which grew at an annual rate of 11.0% in November, points to the continued vigour of underlying monetary dynamics. Monetary developments continue to require very careful monitoring, both to detect underlying trends associated with inflationary pressures at longer horizons and to form a better understanding of shorter-term monetary dynamics. Such monitoring will also provide a more complete picture of the response of the private sector to the increased volatility in financial markets. A broad assessment of underlying trends in money and credit growth is particularly important at present given recent financial market developments. Heightened financial volatility may influence the short-term behaviour of money-holders and thereby complicate the extraction of the underlying trend monetary developments. At the same time, monetary and credit data can also offer an important insight into how financial institutions, households and firms have responded to the financial market turmoil. For the time being, however, there is little evidence that the financial market turbulence since early August 2007 has strongly influenced the dynamics of broad money and credit aggregates. Indeed, the growth of bank loans to the domestic private sector has remained robust in recent months, which may suggest that the supply of credit has not been impaired thus far. The growth of M1 and household borrowing have moderated further over the past few quarters, reflecting the impact of higher key ECB interest rates since December 2005 rather than the influence of the financial turmoil. Further data and analysis will be required in order to obtain a more complete picture of the impact of the financial market developments on banks' balance sheets, financing conditions and money and credit growth. To sum up, a cross-check of the outcome of the economic analysis with that of the monetary analysis fully confirms the assessment that there are upside risks to price stability over the medium term, in a context of very vigorous money and credit growth and sound economic fundamentals in the euro area. At the same time, the potential impact on the real economy of the ongoing reappraisal of risk in financial markets remains uncertain. The Governing Council remains prepared to act pre-emptively so that second-round effects and upside risks to price stability do not materialise and, consequently, medium and long-term inflation expectations remain firmly anchored in line with price stability. Reflecting its mandate, such anchoring is of the highest priority to the Governing Council. Turning to fiscal policy, most euro area countries have submitted their updated stability programmes. On this basis, after a reduction in the euro area aggregate deficit ratio in 2007, an increase in the ratio is projected for 2008 despite many countries not having achieved sound fiscal positions. There is a clear risk that some countries will fail to comply with the provisions of the preventive arm of the Stability and Growth Pact, thereby undermining the credibility of the Pact. In 2008 some countries with fiscal imbalances will consolidate by less than the required minimum of 0.5% of GDP in structural terms. In these countries, much more ambitious policies will be necessary to ensure that they achieve their medium-term objectives by 2010 at the latest, in accordance with their commitment of April 2007. With regard to structural reforms, the new three-year cycle of the Lisbon Strategy for growth and jobs has started. While the achievements made over the last three years of the relaunched Strategy are encouraging, it is important that governments step up their reform efforts to deliver enhanced knowledge and innovation, competitiveness and labour market flexibility. Such reforms are crucial to raising productivity and fostering employment opportunities in the euro area."
South Korea,2008-01-10,"The Bank of Korea Monetary Policy Decision The Monetary Policy Committee of the Bank of Korea decided today to maintain the call rate target (uncollateralized overnight rate) at its current level (5.00%) for the intermeeting period. (The following is an English translation of the Monetary Policy Committee statement). The Monetary Policy Committee of the Bank of Korea decided today to maintain the call rate target (uncollateralized overnight rate) at its current level (5.00%) for the intermeeting period. The domestic economy seems likely to maintain its upward trend. While investment growth continues at a low level, exports maintain robust growth and private consumption shows a steady increase. There remains, however, a high degree of uncertainty surrounding future economic developments, largely due to the run-up in international oil prices and the possibility of international financial market unrest. Consumer price inflation has picked up its pace, mainly influenced by high oil prices. The upward trend of real estate prices has flattened out. In the financial markets, there is ample liquidity. Meanwhile, long-term and short-term market interest rates exhibit upward trends, mainly due to changes in fund flows."
Peru,2008-01-15,"- MONETARY PROGRAM FOR JANUARY 2008 BCRP RAISED REFERENCE INTEREST RATE FROM 5.0% TO 5.25% The Board of the Central Bank approved to raise the monetary policy reference rate from 5.0 to 5.25 percent. This measure has been adopted to maintain inflation expectations within the inflation target range, given the increase seen in the international prices of food products in a context of strong growth of domestic demand. As pointed out in previous communiques, inflation's temporary rate above the target is mainly explained by imported inflation, which posted 10.5 percent in 2007. The supply and demand imbalances in the international markets of grains and fuel have implied a generalized increase of inflation worldwide. The Board continues to oversee the evolution of inflation and its determinants, both domestic and external, distinguishing the factors with temporary impacts from those with permanent effects. As in previous occasions, the Board will adopt any necessary adjustment required to ensure that inflation converges to the target range. The Board made this decision considering the following macroeconomic information: The Consumer Price Index for Metropolitan Lima (CPI) increased 0.45 percent in December, with seasonal rises in the price of chicken and domestic transportation accounting for nearly fifty percent of this increase. Inflation over the last twelve months was 3.93 percent, above the inflation target range (2 percent, plus or minus one percentage point). Moreover, imported inflation was 0.23 percent and showed a last 12-month rate of 10.46 percent. Core inflation was 0.34 percent and accumulated 3.1 percent over the last twelve months. Factors contributing to this evolution also included the higher prices of imported inputs used for the production of food products, as reflected in the price rise of evaporated milk and “eating out” meals. The expectations of economic agents regarding inflation were revised upwards between November and December, but remain within the inflation target range. According to the surveys carried out by the BCRP, inflation expectations range between 2.2 and 3.0 percent for 2008 and between 2.2 and 2.7 percent for 2009. Economic activity continues to show a robust growth: GDP grew 8.4 percent and domestic demand grew 11.3 percent during the first ten months of 2007. Furthermore, the drive of private consumption has been coupled by a high growth of consumer loans. The nuevo sol appreciated 0.67 percent against the dollar in December, accumulating an appreciation of 7.0 percent in 2007. On the other hand, the nuevo sol appreciated 0.68 percent against the currency basket of our trading partners in December and 2.3 percent in 2007. The average monthly interest rate for the interbank market was 4.99 percent in December, close to the reference interest rate. During the session, the Board approved the annual interest rates on the following active and passive operations in soles between the BCRP and the financial system: Direct repo and rediscount operations: 6.0 percent. Overnight deposits: 4.5 percent. Likewise, the Board of Directors approved the interest rates on the following operations in dollars between the BCRP and the financial system: Rediscount operations: 1-month LIBOR plus one percentage point. Overnight deposits: overnight LIBOR minus 3/8 of one percentage point. Swap: a commission equivalent to a minimum annual effective cost of 6.0 percent. Reserve requirements in foreign currency corresponding to additional reserve requirements, provided that they are deposited in this Central Bank, will accrue interests at a rate equivalent to the London Interbank Offered Rate (LIBOR) minus 7/8 of one percentage point. The LIBOR rate will refer to the average rate for 1- month credits in US dollars in the London interbank market at 11:00 hours (London time) and according to the information provided by the British Bankers Association through Reuters. In addition, the Board approved to initiate the procedures to raise from 16 to 17 percent the maximum amount that Private Administrators of Pension Funds are allowed to invest abroad. The Board of Directors will approve the Monetary Program for the next month on February The BCRP will publish its Inflation Reports on the following dates: February 8 June 13 October 10 2."
Thailand,2008-01-16,"No 1 /2008 Monetary Policy Committee's Decision on 16 January 2008 Ms. Duangmanee Vongpradhip. Assistant Governor of the Monetary Policy Group. Bank of Thailand, announces that the Monetary Policy Committee (MPC) met today to assess the latest economic developments and trends in order to determine the appropriate monetary policy stance. The main issues discussed were as follows. Domestic demand showed signs of continued recovery, both in consumption and investment, while export growth continued to be robust. However the trend of oil prices and the likelihood of a slowdown in US economic growth could affect Thailand's economic growth going forward. Headline inflation was expected to accelerate for some time due to higher world oil and commodity prices. Core inflation was likely to rise in line with the recovery in domestic demand and the pass-through from higher costs. However the MPC assessed that core inflation should remain within the target range throughout the next 8 quarters. The MPC deemed that the overall growth momentum had improved from the previous meeting from domestic demand. But the uncertainty surrounding the risks to growth and inflation has risen, which should be monitored closely going forward. The MPC therefore decided to keep the policy interest rate (the 1-day repurchase rate) at 325 per cent per annum."
Turkiye,2008-01-17,"The Monetary Policy Committee (The Committee) decided to lower the policy rates as follows: a) Overnight Interest Rates: Borrowing rate from 15.75 to 15.50 percent, and lending rate from 20 to 19.50 percent, b) Late Liquidity Window Interest Rates: Borrowing rate applied between 4:00 p.m.  5:00 p.m. from 11.75 to 11.50 percent, lending rate from 23 to 22.50 percent, c) The interest rate on overnight and one-week maturity borrowing facilities provided for primary dealers via repo transactions from 19 to 18.50 percent. Readings on the last quarter of 2007 suggest that the economy continued to grow at a moderate pace. The lagged effects of monetary tightening and the weakened global credit conditions restrain domestic demand. Moreover, the expected slowdown in global economic activity may lead to a reduction in the contribution of external demand to the economic growth. Accordingly, aggregate demand conditions should continue to support disinflation. In this context, inflation is expected to decelerate despite the risks from food and energy prices. Drought and energy related supply shocks not only increased inflation temporarily but also had short-term adverse effects on the growth rate. The Committee underlined that the primary goal of the Central Bank is to achieve price stability, and noted that monetary policy remains restrictive even after the recent rate cuts. Yet, the lagged impacts of the recent rate cuts are to be seen. Besides, the Committee will closely monitor the second round effects of elevated food and energy prices as well as developments in incomes policy, on the wage and price setting behavior. The timing of further easing will depend on incoming information regarding global liquidity conditions, external demand, fiscal policy implementation and other factors affecting the medium term inflation outlook. It should be emphasized that any new data or information related to the inflation outlook may lead the Committee to revise its stance. The summary of the Monetary Policy Committee Meeting will be released within eight working days."
Hungary,2008-01-21,"1 At its meeting on 21 January 2008, the Monetary Council reviewed the latest economic and financial developments and voted to leave the central bank base rate unchanged at 7.50%. 2 The Council maintains its view that, as a consequence of the fiscal measures and the cost shocks of the recent past, inflation may be above target and economic growth below potential in 2008. With the unwinding of the first-round effects of these shocks, the inflation rate may slow to close to the 3% target in 2009; however, a potential rise in inflation expectations continues to represent an upside risk. Consumption demand continued to be weak, according to recent retail sales data. Industrial production appears to have slowed, with the slowdown in the rate of export growth being a contributory factor, in addition to the weakening in domestic demand. Downside risks to growth may increase, due to uncertainties about the outlook for global economic activity. CPI and core inflation both rose relative to November. This increase largely reflected rises in food and vehicle fuel prices, continuing the trends seen earlier in the year. However, inflation of other product prices over which monetary policy has most control has not accelerated. Two factors are of key importance for the future prospects for inflation: the way in which one-off shocks will influence economic agents' price and wage setting decisions and the extent to which policy will be able prevent a rise in inflation expectations. Inflationary developments in the world economy, coupled with further increases in administered prices in Hungary, constitute further risks to inflation. Private sector wage growth slowed somewhat in November, mainly on account of lower-than-usual bonus payments. The recommendation of the Interest Reconciliation Council foreshadows a further moderation in wage growth. In contrast, the increase in the minimum wage for skilled workers represents an upside risk. Price and wage decisions, consistent with subdued domestic demand, would contribute to a fall in inflation and, indirectly, they would provide a boost to growth. There remains considerable uncertainty in international financial markets. The re-pricing of credit risk is likely to continue in the coming months. International investors' willingness to take risk in emerging markets has moderated recently. The Monetary Council's decision to leave the policy rate unchanged reflects its assessment of the risks associated with inflation expectations and international capital markets. The future path of interest rates depends on the degree to which expectations will feed through to inflation and on the direction future developments in international money and capital markets will take. 4 The Monetary Council's assessment of inflation performance in 2007. Consumer price inflation remained above the 3% medium-term target throughout 2007 and even exceeded the ±1% tolerance band. Monetary policy actions affect inflation only with a lag. Generally, the strongest effect is felt after about 58 quarters. Consequently, 2007 inflation developments were influenced mainly by the decisions the Council took in the period between 2005 H2 and 2006. The period end-20052006 H1 was characterised by a benign inflation environment, which, however, was achieved in combination with unsustainable fiscal policy over the long term. Although the Monetary Council emphasised the need for fiscal adjustment on several occasions, the structure of such an adjustment programme remained unknown for most of the period. International experience has shown that there are significant differences in fiscal adjustments in respect of the degree to which monetary policy should react to such measures. For this reason, monetary policy adopted a wait-and-see approach. Factors such as increases in VAT and certain administered prices as well as reductions in price subsidies, played an important role in the fiscal adjustment programme launched in the summer of 2006. These in turn led to a sharp rise in inflation in 2007. The Bank decided not to neutralise the one-off, direct upward effects on prices of the measures, as it would have led to excessive growth sacrifice. The Council, therefore, chose to allow inflation to rise temporarily above the target in 2007. However, it could not disregard the fact that the price increases might cause a sustained rise in expectations, which threatened to lead to an indirect, persistent rise in inflation. Partly to prevent such a situation, and partly because of the rise in risk premia, the Monetary Council raised the base rate in small steps, by a total of two percentage points. Other, unforeseen shocks also contributed to inflation rising above target, in addition to the fiscal measures. An example is the increase in food prices, explained, among other things, by adverse weather conditions in 2007 and a rapid expansion in the global demand for food. Rises in international energy prices also had inflationary effects, particularly as they also fed through to administered prices. Without the increases in administered prices as well as in energy and food prices above expectations, inflation would have exceeded the target by a much smaller margin. Although in 2006 the Bank decided not to offset the upward effect on prices of the one-off and unforeseen shocks, it subsequently pursued a course of policy which aimed to ensure that inflation expectations did not reflect the 2007 price rises over the medium term. For this reason, in 2007 the central bank base rate consistently exceeded earlier market expectations. In the future, monetary policy will monitor carefully changes in inflation expectations, and will make every effort to deliver price stability in the medium term. By achieving and maintaining price stability, the Bank can best contribute to long-term economic growth and a predictable macroeconomic environment."
United States,2008-01-22,"The Federal Open Market Committee has decided to lower its target for the federal funds rate 75 basis points to 3-1/2 percent. The Committee took this action in view of a weakening of the economic outlook and increasing downside risks to growth. While strains in short-term funding markets have eased somewhat, broader financial market conditions have continued to deteriorate and credit has tightened further for some businesses and households. Moreover, incoming information indicates a deepening of the housing contraction as well as some softening in labor markets. The Committee expects inflation to moderate in coming quarters, but it will be necessary to continue to monitor inflation developments carefully. Appreciable downside risks to growth remain. The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks. Voting for the FOMC monetary policy action were: Ben S Bernanke. Chairman; Timothy F Geithner. Vice Chairman; Charles L Evans; Thomas M Hoenig; Donald L Kohn; Randall S Kroszner; Eric S Rosengren; and Kevin M Warsh. Voting against was William Poole, who did not believe that current conditions justified policy action before the regularly scheduled meeting next week. Absent and not voting was Frederic S Mishkin. In a related action, the Board of Governors approved a 75-basis-point decrease in the discount rate to 4 percent. In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Chicago and Minneapolis."
Georgia,2008-01-23,"Tbilisi. 01.23.2008 The Decision of the Monetary Policy Committee (MPC) of the National Bank of Georgia on January 23, 2008 The Monetary Policy Committee (MPC) of the National Bank of Georgia (NBG) met today and decided to raise its main policy rate, the one-week Certificate of Deposit (CD) rate, by 100 basis points, to annual 10 percent. The latest information on economic activity suggests that GDP is continuing to grow in double digits reaching record level (annualized 12.6 percent) in the third quarter, 2007. Both public and private expenditures, the latter supported by large foreign capital inflows have contributed to the acceleration in economic activity. Moreover, the pick-up in export growth rates in the second quarter continued in the third quarter as well contributing to the growing aggregate demand pressure. At the backdrop of political turmoil in November, 2007 the growth in 2008 is expected to slow down. Annual inflation after starting to increase rapidly from August, 2007 fell in December producing end-of- period inflation of 11 percent and period average inflation of 9.2 percent. As in many other countries this acceleration in the inflation rate was largely driven by strong growth in food and energy prices and the subsequent political tensions in Georgia intensifying further the inflationary expectations. Moreover, the growth in monetary aggregates and lending fuelled by increased government spending and foreign capital and financial inflows have further exacerbated inflation dynamics. Monetary aggregates have been growing rigorously driven inter alia by rapidly expanding money multipliers and re-monetization of the economy but even after taking these special factors into account, the underlying rate of monetary expansion remains strong. In the near-term risks to price stability remain on the upside. The current monetary overhang, increased public spending and the shift from capital to social expenditure, the forthcoming parliamentary elections, uncertainty arising from the global financial turbulence and the public's entrenched inflationary expectations, have worsened the inflation outlook in the near-term. Therefore, a tighter monetary policy stance is required to mitigate the abovementioned risks. On the other hand, the expected decline in oil prices due to speculations about the global economic slowdown is a downside risk to price stability. In the medium-term in the environment of large foreign capital inflows to curb inflationary pressures the macro policy mix needs to be changed to make both monetary and fiscal policies contractionary. In general, countries with large foreign inflows have responded with fiscal consolidation, therefore the government's announced commitment to the fiscal surplus is vital. The MPC discussed the possible changes in the reserve requirement rules and norms and decided to leave them unchanged at this stage. 1 The reproduction without citing the source is not allowed. Tbilisi. 01.23.2008 The NBG will closely monitor the developments in the economy with the objective of achieving the forecast inflation rate and will in due course act accordingly. Starting from January, 2008 the MPC of the NBG will meet regularly on a monthly basis to discuss its interest rate policy. The schedule of the MPC meetings is posted on the website of the NBG. The next meeting will take place on February 20, 2008. 2 The reproduction without citing the source is not allowed. Tbilisi. 01.23.2008 Contact: Giorgi Kalandadze. Head of Public Relations Department Tel.:(995 32) 442 488 E-mail: prd@nbg.gov.ge 3 The reproduction without citing the source is not allowed."
