country,date,statement
Romania,2015-01-07,"The analysis of the latest macroeconomic data points to a decline in the annual inflation rate, which followed a path lower than previously forecasted, due to the drop in volatile prices, subdued euro area inflation, the persistence of the negative output gap, and to the ongoing downward adjustment in inflation expectations. The annual inflation rate stood at 1.26 percent in November 2014, down from 1.44 percent a month earlier. The average annual inflation rate came in at 1.1 percent in November 2014, slightly below the previous month's reading of 1.2 percent, while the average annual inflation rate based on the Harmonised Index of Consumer Prices  which is relevant for assessing convergence with the European Union  remained unchanged at 1.4 percent. Foreign exchange reserves remained around EUR 32 billion at end-2014 after making external debt service payments worth about EUR 8 billion and lowering the minimum reserve requirement ratio on credit institutions' foreign currency-denominated liabilities to 14 percent from 20 percent. The reserves were fuelled by inflows of European funds and government borrowings in international markets. During 2014, the exchange rate of the leu against the euro witnessed stable developments, with the March-October appreciation being mitigated by heightened global risk aversion amid geopolitical tensions in the region over the final months of the year. The real growth rate of domestic currency loans picked up thanks to the pass-through of the successive policy rate cuts onto lending rates on new business to companies and households. However, the real annual dynamics of credit to the private sector remained in negative territory, against the background of the contraction in foreign currency credit (stocks) and the ongoing operations to remove non-performing loans from credit institutions' balance sheets. Looking at the real economy, the latest statistical data point to a step-up in the annual dynamics of gross domestic product amid the recovery of domestic demand, fostered by both its major components, i.e. consumption and investment. Over the short term, the path of the annual inflation rate is expected to remain below the lower bound of the variation band of the flat target, as a result of the influence exerted by developments in the global oil price and the persistence of the negative output gap. At the same time, there is heightened uncertainty surrounding external developments owing to resurgent geopolitical tensions in the region and to monetary policy stance adjustments by major central banks worldwide. Against this background, the Board of the National Bank of Romania has decided to lower the monetary policy rate to 2.5 percent per annum from 2.75 percent starting with 8 January 2015, to continue to pursue adequate liquidity management in the banking system, and to keep unchanged the current levels of minimum reserve requirement ratios on liabilities of credit institutions. With a view to consolidating the transmission of the policy rate signal, the NBR Board has decided to narrow the symmetrical corridor of interest rates on the NBR's standing facilities around the policy rate to ±2.25 percentage points from ±2.5 percentage points. Therefore, starting with 8 January 2015, the interest rate on the NBR's lending facility (Lombard) will be lowered to an annual 4.75 percent from 5.25 percent, while the deposit facility rate will remain at 0.25 percent per annum. Based on currently available data, these decisions are meant to ensure price stability over the medium term, along with the sustainable recovery of lending, which is likely to help achieve balanced and lasting economic growth. The NBR Board believes that an adequate macroeconomic policy mix, in line with external financing arrangements, together with a sustainable financial intermediation and an appropriate remuneration of bank deposits are pivotal to consolidating the Romanian economy and enhancing its resilience to external shocks. The NBR is restating that the adequate use and dosage of all its available tools, amid close monitoring of domestic and global economic developments, will ensure the achievement of the overriding objective of maintaining price stability over the medium term, along with preserving financial stability. In line with the approved calendar, the next NBR Board meeting dedicated to monetary policy issues is scheduled for 4 February 2015, when the new quarterly Inflation Report is to be examined."
Mongolia,2015-01-14,"THE BANK OF MONGOLIA MONETARY POLICY STATEMENT Monetary policy decision Number: 2015/01 Effective date: 15 January 2015 The Monetary Policy Committee (MPC) of the Bank of Mongolia decided to increase policy interest rate by 1.0 percentage point to 13%, at its recurrent meeting on January 14, 2015. Although, annual inflation measured by CPI declined to 11.0% nationwide at the end of 2014 owing to sustainable positive change in the composition of inflation over the last two years, core inflation remains high at 12.6% due to impacts of exchange rate fluctuation and increase in administered prices. In addition, foreign exchange inflows remain muted and foreign direct investments have been deteriorating for the third consecutive year. Therefore, the MPC took this policy action to support external macroeconomic balance through increasing togrog yield until signs of improvement on terms of trade condition and foreign exchange inflows are noted. The decision shall positively affect reducing aggregate demand and current account deficit in the short term, maintaining inflation at low and stable level, and promoting macroeconomic and financial stability. Extracts of the meeting minutes will be released in two weeks on the Bank of Mongolia's website. MONETARY POLICY COMMITTEE."
Poland,2015-01-14,"Warsaw, 14 January 2015 Information from the meeting of the Monetary Policy Council held on 13-14 January 2015 The Council has decided to keep the NBP interest rates unchanged at:  reference rate at 2.00% on an annual basis;  lombard rate at 3.00% on an annual basis;  deposit rate at 1.00% on an annual basis;  rediscount rate at 2.25% on an annual basis. Global economic activity growth remains moderate, although the situation varies across countries. The United States observed continued recovery in 2014 Q4, and the data on GDP in 2014 Q3 have been revised upwards. In contrast, activity growth in the euro area has continued to be slow, and the 2015 growth forecasts have been revised downwards in the recent months. In the largest emerging economies, economic activity growth has also remained weak as for these countries. Russia's output growth has probably decreased close to zero. In the past month, oil prices continued to decline sharply. Along with the moderate global economic growth, this has been conducive to inflation persisting at very low levels in many countries, and contributed to deflation occurring in the euro area. Major central banks continue their expansionary monetary policy and keep interest rates at historically low levels. The ECB and the Bank of Japan are running asset purchase programmes. At the same time, expectations of a gradual interest rate increase in the United States have strengthened which have contributed to a depreciation of the emerging market currencies, including the zloty. Heightened risk aversion in the international financial markets persists. In Poland, economic activity growth in 2014 Q4 may have slowed down slightly. In November, industrial output growth decreased to near-zero levels, while construction and assembly output continued to fall. At the same time, retail sales growth decreased. Growth in bank lending  both to enterprises and households  continued at a steady pace. Labour market data point to a further rise in corporate employment, which supports the decline in seasonally-adjusted unemployment. At the same time, wage pressure remains limited, as indicated by continued moderate wage growth in the corporate sector. In November. CPI inflation remained negative and was below expectations at -0.6% y/y. This was accompanied by a decrease in the majority of core inflation indices, which confirms the absence of demand pressure in the economy. The decline in producer prices has also continued, indicating a lack of cost pressure in the economy. This is accompanied by very low inflation expectations of enterprises and households. The Council decided to keep the NBP interest rates unchanged. The Council highlights that uncertainty regarding economic conditions in the environment of the Polish economy persists. If the expected period of deflation extends, which would increase the risk of inflation remaining below the target in the medium term, and incoming data confirm a slowdown in economic activity as well as weak growth in the environment of the Polish economy persists, the Council does not rule out further adjustment of monetary policy."
Chile,2015-01-15,"Central Bank of Chile Santiago, 15 January 2015 Press Release1 In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided to keep the monetary policy interest rate at 3% (annual). Internationally, the downward trend of the prices of commodities continued, with a further decline in the oil price and a drop in the price of copper. External financial conditions for the emerging economies deteriorated, while long-term rates in developed economies declined and the dollar continued to appreciate. Meanwhile, recent information confirms the outlook of good economic performance in the United States and slower growth and low inflation in the Eurozone and Japan, a development that has widened the differences in expected paths of monetary policy implemented by those economies. Output and demand indicators continue to reveal the low growth of the Chilean economy, in accordance with the December's Monetary Policy Report´s baseline scenario. Meanwhile, the unemployment rate declined and nominal wages remain dynamic. Local financial conditions reflect the impact of the monetary stimulus. Annual inflation dropped, while core indicators kept at the same level. Medium-term inflation expectations remain around 3%. The evolution of prices will continue to be monitored with special attention. The Board reiterates its commitment to conduct monetary policy with flexibility so that projected inflation stands at 3% over the policy horizon. Any future changes in the monetary policy rate will depend on the implications of domestic and external macroeconomic conditions on the inflationary outlook. 1 The Spanish original prevails."
Egypt,2015-01-15,"Central Bank of Egypt Press Release January 15, 2015 In its meeting held on January 15, 2015, the Monetary Policy Committee (MPC) decided to cut the overnight deposit rate, overnight lending rate, and the rate of the CBE's main operation by 50 basis points to 875 percent, 975 percent, and 925 percent, respectivel. The discount rate was also cut by 50 basis points to 925 percen. Headline CPI decelerated by 153 percent (m/m) and 007 percent (m/m) in November and December, respectivel. This brought the annual inflation rates to 909 percent in November then to 1013 percent in December due to an unfavorable base effec. The monthly developments came broadly on the back of the seasonal deceleration in the prices of fruits and vegetables coupled with the decline in the prices of other food items supported by the decrease in international price. On the other hand, core CPI inched up by 03 percent (m/m) in December after declining by 015 percent (m/m) in Novembe. The annual rate continued to ease registering 769 percent in December following 781 in Novembe. Upside risks from imported inflation continue to be contained on the back of lower oil prices and the consequent revision in international food price forecast. Meanwhile real GDP jumped significantly in 2014/15 Q1, registering at 68 percent the highest annual growth rate since 2007/08 Q4. This comes atier the 2013/14 fiscal year real GDP growth rate recorded 22 percen. Notwithstanding the support stemming from the base effect, the expansion in economic activity during 2014/2015 Q1 came on the back of the continuous growth in the manufacturing sector and the expansion of tourism activities after several quarters of contractio. This came despite the continuous weakness in the extraction secto. In the meantime, investment continued to improve for the third consecutive quarte. Looking ahead, while investments in domestic mega projects such as the Suez Canal are expected to contribute to economic growth, the downside risks that surround the global recovery on the back of challenges facing the Euro Area and the softening growth in emerging markets could pose downside risks to domestic GD. In light of recent global developments and the reassessment of risks surrounding the inflation outlook and domestic GDP, the MPC decided to cut the key CBE rate. The MPC will continue to closely monitor all economic developments and will not hesitate to adjust the key CBE rates to ensure price stability over the medium-ter. Dr Rania Al-Mashat Sub Governor. Monetary Policy Telephone number: 0227701315 Email: monetarypolicy@cbeorge."
South Korea,2015-01-15,"The Bank of Korea Monetary Policy Decision The Monetary Policy Committee of the Bank of Korea decided today to leave the Base Rate unchanged at 2.00% for the intermeeting period. (English translation prepared by the Bank of Korea staff) The Monetary Policy Committee of the Bank of Korea decided today to leave the Base Rate unchanged at 2.00% for the intermeeting period. Based on currently available information the Committee considers that, although the trend of a solid economic recovery in the US has been sustained, the sluggishness of economic activities in the euro area has continued while economic growth in emerging market countries such as China has slowed somewhat. The Committee forecasts that the global economy will sustain its modest recovery going forward, centering around the US, but judges that the possibility exists of its being affected by changes in the monetary policies of major countries, by the weakening of economic growth in the euro area and China, by financial and economic unrest in the oil-producing countries, and by geopolitical risks. Looking at the Korean economy, while export growth has slowed somewhat the Committee judges that the recovery of domestic demand has not been strong and the sentiments of economic agents remain weak. On the employment front, the number of persons employed has expanded steadily, led by increases in the 50-and-above age group and in the service sector. The Committee expects that the domestic economy will show a modest trend of recovery going forward, but that the negative output gap will persist for a considerable time. Consumer price inflation fell from 1.0% the month before to 0.8% in December, due mainly to an increase in the scale of decline in petroleum product prices. Core inflation excluding agricultural and petroleum product prices registered 1.6%, as in November. Looking ahead the Committee forecasts that inflation will gradually rise from the second half of this year, after remaining at a low level despite the hike in cigarette prices under the influence for example of international oil price movements. In the housing market, leasehold deposit and sales prices continued their uptrends— centering around Seoul and its surrounding areas in the former case and around the rest of the country in the latter. In the domestic financial markets, stock prices have fallen due for example to stock price declines in other major countries and to the net selling of domestic stocks by foreigners. After rising, long-term market interest rates have fallen back. The Korean won has appreciated against the US dollar, due mainly to the widening of the current account surplus and to a slowdown in Japanese yen depreciation, while appreciating against the yen as the synchronization between movements of the won and the yen has weakened. Bank household lending has sustained its substantial uptrend, led by mortgage loans. Looking ahead, while supporting the recovery of economic growth the Committee will conduct monetary policy so as to maintain price stability over a medium-term horizon and pay attention to financial stability. In this process it will closely monitor external risk factors such as international oil prices and shifts in major countries' monetary policies, as well as developments related to the spare capacity in the domestic economy and the trends of household debt and capital flows."
Peru,2015-01-15,"MONETARY PROGRAM FOR JANUARY 2015 BCRP LOWERED THE POLICY INTEREST RATE FROM 3.50% TO 3.25% The Board of the Central Reserve Bank of Peru approved to lower the monetary policy interest rate by 25 bps to 3.25 percent. This level of the benchmark rate is compatible with the forecast that inflation will be converging more rapidly to the 2.0 percent target in 2015. This forecast also takes into account that: economic activity continues showing levels below its potential levels; inflation expectations remain anchored within the target range; recent international indicators show mixed signals of global economic recovery, as well as increased volatility in financial markets, and the lower international prices of crude oil have started to gradually reflect in the domestic market. This interest rate reduction does not imply successive interest rate cuts. Inflation in December showed a rate of 0.23 percent, as a result of which the interannual rate of inflation rose from 3.16 percent in November to 3.22 percent in December. Inflation without food and energy registered a rate of 0.49 percent, as a result of which the interannual rate of inflation rose from 2.49 percent in November to 2.51 percent in December. Recent indicators of activity continue showing a weak economic cycle, with lower GDP growth rates than the potential output rates in 2014 and significant drops in the rates of primary activities due to negative supply factors. In January, the BCRP has continued lowering the rate of reserve requirements in domestic currency from 9.5 to 9.0 percent with the aim of supporting the growth of credit in soles. The Board oversees the inflation forecasts and inflation determinants, and will implement additional monetary easing measures if it is necessary. The Board of the Central Bank also approved to lower the annual interest rates on lending and deposit operations in domestic currency (not included in auctions) between the BCRP and the financial system, as specified below: Overnight deposits: 2.05 percent. Direct repos and rediscount operations: 4.05 percent. Swaps: a commission equivalent to a minimum annual effective cost of 4.05 percent. The Monetary Program for the month of February will be approved on the Board meeting to be held on February 12, 2015."
Turkiye,2015-01-20,"The Monetary Policy Committee (the Committee) has decided to set the short term interest rates as follows:. a) Overnight Interest Rates: Marginal Funding Rate has been kept at 11.25 percent, the interest rate on borrowing facilities provided for primary dealers via repo transactions has been kept at 10.75 percent, and borrowing rate has been kept at 7.5 percent, b) One-week repo rate has been reduced from 8.25 percent to 7.75 percent, c) Late Liquidity Window Interest Rates (between 4:00 p.m.  5:00 p.m.): Borrowing rate has been kept at 0 percent, and lending rate has been kept at 12.75 percent. Loan growth continues at reasonable levels in response to the tight monetary policy stance and macroprudential measures. The favorable developments in the terms of trade and the moderate course of consumer loans will contribute to the improvement in the current account balance. External demand remains weak, while domestic demand contributes to growth moderately. The Committee assesses that the implementation of the announced structural reforms would contribute to the potential growth significantly. The tight monetary policy stance and macroprudential measures continue to have favorable impact on inflation, especially inflation excluding energy and food (core inflation) indicators, and inflation expectations. Moreover, declining commodity prices, in particular oil prices, contribute to disinflation. In light of these positive developments, the Committee has decided on a measured cut in the one week repo rate. Under the current monetary policy stance, the Committee anticipates that inflation will decline to levels close to the target by mid-2015. Yet, a more persistent reduction in inflation necessitates a cautious approach in monetary policy. In this context, future monetary policy decisions will be conditional on the improvements in the inflation outlook. Inflation expectations, pricing behavior and other factors that affect inflation will be closely monitored and the tight monetary policy stance will be maintained, by keeping a flat yield curve, until there is a significant improvement in the inflation outlook. It should be emphasized that any new data or information may lead the Committee to revise its stance. The summary of the Monetary Policy Committee Meeting will be released within five working days."
Armenia,2015-01-21,"PRESS RELEASE 21.01.2015 At the January 21, 2015 ad hoc meeting, the Board of the Central Bank decided to raise the refinancing rate by 1.00 pp to 9.50%. Inflation in December 2014 was 3.0%, with the 12‐month inflation having amounted to 4.6%. In the external sector, after the latest decision on the refinancing rate, deflationary trends persisted in the main commodity and food product markets. To which extent and at which speed these trends will reflect price changes in relevant domestic markets in Armenia is still uncertain. Deflationary pressures were also observed in trading partner countries, with the exception of Russia, where the ruble's unprecedented depreciation late in the year prompted an upside adjustment of prices. Though high inflationary expectations in the domestic economy in late 2014 have somewhat moderated, these are still persisting, which is reflected in the financial market as businesses demonstrate a demand for increased interest rates on dram instruments. The Board of the Central Bank believes that existing high interest rates which were shaped around the CBA Lombard Repo Facility rate encompass the trend of rising world interest rates and risk premium in developing countries over the long‐term. In view of maintaining the position of monetary policy, the Board finds it appropriate to increase the refinancing rate. At the same time, to reduce currently high market rates, the Board lowered the Lombard Repo Facility rate by 3 percentage points to 17%. As pressures in the foreign currency market are easing, this will help neutralize high inflationary expectations and achieve the fulfillment of the inflation target. The Board's next decision on the monetary policy directions will be held on February 10th this year, according to the schedule. The decision will be followed by the publication of the first quarter 2015 monetary policy program in which the Central Bank will focus in more detail on recent developments and forecasts of the upcoming period. …………………………………………………………………………………………………………………………………………………………………… Press Service of the Central Bank."
Euroarea,2015-01-22,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to our press conference. I would also like to take this opportunity to welcome Lithuania as the nineteenth country to adopt the euro as its currency. Accordingly. Mr Vasiliauskas, the Chairman of the Board of Lietuvos bankas, became a member of the Governing Council on 1 January 2015. The accession of Lithuania to the euro area on 1 January 2015 triggered a system under which NCB governors take turns holding voting rights on the Governing Council. The details on this rotation system are available on the ECB's website. We will now report on the outcome of today's meeting of the Governing Council, which was also attended by the Commission Vice-President. Mr Dombrovskis. Based on our regular economic and monetary analyses, we conducted a thorough reassessment of the outlook for price developments and of the monetary stimulus achieved. As a result, the Governing Council took the following decisions:. First, it decided to launch an expanded asset purchase programme, encompassing the existing purchase programmes for asset-backed securities and covered bonds. Under this expanded programme, the combined monthly purchases of public and private sector securities will amount to €60 billion. They are intended to be carried out until end-September 2016 and will in any case be conducted until we see a sustained adjustment in the path of inflation which is consistent with our aim of achieving inflation rates below, but close to, 2% over the medium term. In March 2015 the Eurosystem will start to purchase euro-denominated investment-grade securities issued by euro area governments and agencies and European institutions in the secondary market. The purchases of securities issued by euro area governments and agencies will be based on the Eurosystem NCBs' shares in the ECB's capital key. Some additional eligibility criteria will be applied in the case of countries under an EU/IMF adjustment programme. Second, the Governing Council decided to change the pricing of the six remaining targeted longer-term refinancing operations (TLTROs). Accordingly , the interest rate applicable to future TLTRO operations will be equal to the rate on the Eurosystem's main refinancing operations prevailing at the time when each TLTRO is conducted, thereby removing the 10 basis point spread over the MRO rate that applied to the first two TLTROs. Third, in line with our forward guidance, we decided to keep the key ECB interest rates unchanged. As regards the additional asset purchases, the Governing Council retains control over all the design features of the programme and the ECB will coordinate the purchases, thereby safeguarding the singleness of the Eurosystem's monetary policy. The Eurosystem will make use of decentralised implementation to mobilise its resources. With regard to the sharing of hypothetical losses, the Governing Council decided that purchases of securities of European institutions (which will be 12% of the additional asset purchases, and which will be purchased by NCBs) will be subject to loss sharing. The rest of the NCBs' additional asset purchases will not be subject to loss sharing. This implies that 20% of the additional asset purchases will be subject to a regime of risk sharing. Separate press releases with more detailed information on the expanded asset purchase programme and the pricing of the TLTROs will be published this afternoon at 3.30 p.m. Today's monetary policy decision on additional asset purchases was taken to counter two unfavourable developments. First, inflation dynamics have continued to be weaker than expected. While the sharp fall in oil prices over recent months remains the dominant factor driving current headline inflation, the potential for second-round effects on wage and price-setting has increased and could adversely affect medium-term price developments. This assessment is underpinned by a further fall in market-based measures of inflation expectations over all horizons and the fact that most indicators of actual or expected inflation stand at, or close to, their historical lows. At the same time, economic slack in the euro area remains sizeable and money and credit developments continue to be subdued. Second, while the monetary policy measures adopted between June and September last year resulted in a material improvement in terms of financial market prices, this was not the case for the quantitative results. As a consequence, the prevailing degree of monetary accommodation was insufficient to adequately address heightened risks of too prolonged a period of low inflation. Thus, today the adoption of further balance sheet measures has become warranted to achieve our price stability objective, given that the key ECB interest rates have reached their lower bound. Looking ahead, today's measures will decisively underpin the firm anchoring of medium to long-term inflation expectations. The sizeable increase in our balance sheet will further ease the monetary policy stance. In particular, financing conditions for firms and households in the euro area will continue to improve. Moreover, today's decisions will support our forward guidance on the key ECB interest rates and reinforce the fact that there are significant and increasing differences in the monetary policy cycle between major advanced economies. Taken together, these factors should strengthen demand, increase capacity utilisation and support money and credit growth, and thereby contribute to a return of inflation rates towards 2%. Let me now explain our assessment in greater detail, starting with the economic analysis. Real GDP in the euro area rose by 0.2%, quarter on quarter, in the third quarter of 2014. The latest data and survey evidence point to continued moderate growth at the turn of the year. Looking ahead, recent declines in oil prices have strengthened the basis for the economic recovery to gain momentum. Lower oil prices should support households' real disposable income and corporate profitability. Domestic demand should also be further supported by our monetary policy measures, the ongoing improvements in financial conditions and the progress made in fiscal consolidation and structural reforms. Furthermore, demand for exports should benefit from the global recovery. However, the euro area recovery is likely to continue to be dampened by high unemployment, sizeable unutilised capacity, and the necessary balance sheet adjustments in the public and private sectors. The risks surrounding the economic outlook for the euro area remain on the downside, but should have diminished after today's monetary policy decisions and the continued fall in oil prices over recent weeks. According to Eurostat, euro area annual HICP inflation was -0.2% in December 2014, after 0.3% in November. This decline mainly reflects a sharp fall in energy price inflation and, to a lesser extent, a decline in the annual rate of change in food prices. On the basis of current information and prevailing futures prices for oil, annual HICP inflation is expected to remain very low or negative in the months ahead. Such low inflation rates are unavoidable in the short term, given the recent very sharp fall in oil prices and assuming that no significant correction will take place in the next few months. Supported by our monetary policy measures, the expected recovery in demand and the assumption of a gradual increase in oil prices in the period ahead, inflation rates are expected to increase gradually later in 2015 and in 2016. The Governing Council will continue to closely monitor the risks to the outlook for price developments over the medium term. In this context, we will focus in particular on geopolitical developments, exchange rate and energy price developments, and the pass-through of our monetary policy measures. Turning to the monetary analysis, recent data indicate a pick-up in underlying growth in broad money (M3), although it remains at low levels. The annual growth rate of M3 increased to 3.1% in November 2014, up from 2.5% in October and a trough of 0.8% in April 2014. Annual growth in M3 continues to be supported by its most liquid components, with the narrow monetary aggregate M1 growing at an annual rate of 6.9% in November. The annual rate of change of loans to non-financial corporations (adjusted for loan sales and securitisation) remained weak at -1.3% in November 2014, compared with -1.6% in October, while continuing its gradual recovery from a trough of -3.2% in February 2014. On average over recent months, net redemptions have moderated from the historically high levels recorded a year ago and net lending flows turned slightly positive in November. In this respect, the January 2015 bank lending survey indicates a further net easing of credit standards in the fourth quarter of 2014, with cross-country disparities decreasing in parallel with an increase in net demand for loans across all loan categories. Despite these improvements, lending to non-financial corporations remains weak and continues to reflect the lagged relationship with the business cycle, credit risk, credit supply factors and the ongoing adjustment of financial and non-financial sector balance sheets. The annual growth rate of loans to households (adjusted for loan sales and securitisation) was 0.7% in November, after 0.6% in October. Our monetary policy measures should support a further improvement in credit flows. To sum up, a cross-check of the outcome of the economic analysis with the signals coming from the monetary analysis confirmed the need for further monetary policy accommodation. All our monetary policy measures should provide support to the euro area recovery and bring inflation rates closer to levels below, but close to, 2%. Monetary policy is focused on maintaining price stability over the medium term and its accommodative stance contributes to supporting economic activity. However, in order to increase investment activity, boost job creation and raise productivity growth, other policy areas need to contribute decisively. In particular, the determined implementation of product and labour market reforms as well as actions to improve the business environment for firms needs to gain momentum in several countries. It is crucial that structural reforms be implemented swiftly, credibly and effectively as this will not only increase the future sustainable growth of the euro area, but will also raise expectations of higher incomes and encourage firms to increase investment today and bring forward the economic recovery. Fiscal policies should support the economic recovery, while ensuring debt sustainability in compliance with the Stability and Growth Pact, which remains the anchor for confidence. All countries should use the available scope for a more growth-friendly composition of fiscal policies."
